,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290
no_ortho_EcuniculiEC,pa141,murein5p3p,fecost,gal,cysleuthr,glu__L,pa160,colipap,adprib,cys__L,pe1819Z1845Z9Z12Z15Z,k,enlipidA,pgp18111Z160,h2o2,fe3,pa181,pe1819Z1819Z,pg1819Z160,enlipidA_LptA,glyb,his__L,so4,ps181,pg181,chols,pro__L,colipa,ni2,orn,zn2,protein,kdo2lipid4,ddca,dca,pg18111Z160,pgp1819Z160,ocdcea,glntyrleu,ttdca,tsul,eca4colipa,mn2,mobd,pail1819Z160,ectoine,pg180,cd2,pe1801835Z9Z12Z,valleuphe,pgp141,met__D,ethso3,o16a4colipa,argserser,zymst,pe140,ps160,pe1801845Z9Z12Z15Z,cit,murein5px3p,met__L,so3,ps140,pgp161,hghhlipan,cu,lipa,pe181,cgly,pe1819Z1835Z9Z12Z,ferrich,pail18111Z160,crn,pe1819Z1829Z12Z,pe120,asp__L,na1,ptrc,isetac,mg2,ps120,h,lipa_cold,pe141,mso3,ocdca,hghhlipa,valserarg,acolipa,rib__D,sulfac,pe18111Z1845Z9Z12Z15Z,ps161,pe18111Z1829Z12Z,leuleutrp,ps180,pgp180,tungs,fol,cobalt2,chitob,spmd,pe18111Z1835Z9Z12Z,pi,LptA,pe1801819Z,prolb,ctbt,murein3px3p,hxa,pa120,octa,gthrd,pgp181,pgp120,pa180,enlipa,pa140,pg120,epist,pe1829Z12Z1835Z9Z12Z,pgp160,pg141,h2o,all__D,butso3,lys__L,pe160,arg__L,fe2,thrasntyr,murein3p3p,xyl__D,pgp140,ergst,ca2,lanost,hdcea,pg161,chol,pe1801829Z12Z,pheme,pg160,ps141,pg140,gbbtn,gthox,pe18111Z1819Z,cro4,pa161,ttdcea,pe161,hdca,pepd,ileargile,pe180,arsenb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TevansiSTIB80,cbl2,pa141,fecost,mettrpphe,glc__D,gal,glu__L,pa160,colipap,gam,ascb__L,cys__L,pe1819Z1845Z9Z12Z15Z,k,enlipidA,pgp18111Z160,gmp,fe3,pa181,pe1819Z1819Z,fecrm,pg1819Z160,enlipidA_LptA,g3pi,his__L,so4,enter,glyc3p,xylan4,ps181,pg181,colipa,ni2,sbt__D,orn,zn2,g3pc,protein,taur,kdo2lipid4,ddca,dca,pg18111Z160,pgp1819Z160,ocdcea,chtbs,clpn141,actn__R,ttdca,ser__L,tsul,eca4colipa,12ppd__S,mn2,mobd,gly,pail1819Z160,acmana,ile__L,mnl,cd2,pe1801835Z9Z12Z,glyc2p,pg180,pgp141,nmn,ethso3,o16a4colipa,zymst,pe140,asn__L,ps160,pe1801845Z9Z12Z15Z,tchola,tyr__L,ps140,5fthf,pgp161,pqh2,hghhlipan,cu,arbt,lipa,pe181,pe1819Z1835Z9Z12Z,ferrich,pail18111Z160,val__L,pe1819Z1829Z12Z,glyald,g3pg,pe120,urea,asp__L,na1,ptrc,isetac,mg2,tre,ps120,h,lipa_cold,feoxam,pe141,mso3,ocdca,ac,hghhlipa,acolipa,sulfac,co2,pe18111Z1845Z9Z12Z15Z,ps161,pe18111Z1829Z12Z,malt,ps180,inost,pgp180,sucr,Lcyst,cobalt2,pq,chitob,spmd,pe18111Z1835Z9Z12Z,pi,LptA,pe1801819Z,fe3hox,acmum,arab__L,hxa,pa120,octa,gthrd,phephethr,pgp181,pgp120,salchs4,pa180,enlipa,pa140,pg120,manglyc,epist,pe1829Z12Z1835Z9Z12Z,pgp160,acgam,pg141,glyc,h2o,butso3,pe160,fru,arg__L,fe2,xyl__D,pgp140,g3pe,cu2,ergst,cl,cpgn,ca2,lanost,hdcea,pg161,pe1801829Z12Z,leu__L,metphearg,ala__L,pheme,pg160,ps141,galt,pg140,pe18111Z1819Z,pa161,gdp,gln__L,ttdcea,pe161,g3ps,hdca,thr__L,arbtn_fe3,man,pe180,lyslyslys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumTG0,pa141,propropro,fecost,glc__D,gal,glu__L,pa160,atp,hxan,colipap,cys__L,tag,pe1819Z1845Z9Z12Z15Z,2agpg160,k,enlipidA,hxcoa,pgp18111Z160,argarg,fe3,pa181,tdecoa,citr__L,pail,pe1819Z1819Z,pg1819Z160,enlipidA_LptA,glnhishis,Rtotalcoa,so4,enter,pydxn,his__L,thm,sertrphis,ps181,2agpg161,pg181,odecoa,pro__L,colipa,ni2,cdpdodecg,orn,zn2,gtocophe,protein,g3pc,taur,glucan6,kdo2lipid4,avite1,ddca,dca,pg18111Z160,pgp1819Z160,ocdcea,clpn141,12dgr160,12dgr141,5mthf,amet,ttdca,cdpdtdecg,cdpdhdec9eg,cdpdodec11eg,tsul,eca4colipa,ser__L,cyssermet,mn2,pc,mobd,gly,pail1819Z160,pg180,12dgr181,cd2,pe1801835Z9Z12Z,stcoa,2agpg141,ile__L,pgp141,met__D,ddcacoa,o16a4colipa,tdcoa,cdpdtdec7eg,sphmyln,lipoate,zymst,succ,cdpdddecg,pe140,asn__L,glucan1500,ps160,pe1801845Z9Z12Z15Z,hdcoa,cit,tchola,tyr__L,met__L,so3,ps140,5fthf,pgp161,lac__L,hghhlipan,leuleu,cu,no2,dag,2agpe181,lipa,pe181,trp__L,pe1819Z1835Z9Z12Z,occoa,ferrich,hb,pail18111Z160,val__L,pe1819Z1829Z12Z,fum,glyald,pe120,urea,na1,asp__L,tyrphetyr,ptrc,mg2,pmtcoa,12dgr140,ps120,h,lipa_cold,2agpe120,2agpg120,trpiletrp,pe141,ocdca,ac,hghhlipa,cdpdag,acolipa,focytc6,rib__D,12dgr161,2agpg180,co2,pe18111Z1845Z9Z12Z15Z,ps161,hemozoin,chsterol,pe18111Z1829Z12Z,2agpe160,o2s,ps180,2agpe180,pgp180,tungs,ficytc6,cobalt2,pcox,chitob,spmd,pe18111Z1835Z9Z12Z,pi,LptA,ipdp,cdpdhdecg,pe1801819Z,thrthrarg,hxa,arab__L,pa120,coa,octa,phephe,valval,gthrd,pgp181,pgp120,2agpe140,salchs4,dcacoa,2agpg181,lyslyslys,pa180,Rtotal,enlipa,12dgr120,pa140,pg120,epist,pe1829Z12Z1835Z9Z12Z,pgp160,2agpe161,pg141,glyc,h2o,lys__L,xolest2,dolichol,pe160,arg__L,fe2,fru,xyl__D,pgp140,pe,cu2,ergst,2agpg140,ca2,o2,lanost,pnto__R,hdcea,pg161,12dgr180,pe1801829Z12Z,for,leu__L,ala__L,pheme,2ddecg3p,mal__L,pg160,ps141,2agpe141,pg140,pc_SC,pe18111Z1819Z,cro4,pa161,gln__L,ttdcea,pe161,hdca,thr__L,pcrd,CE5022,ileargile,metmetile,ocdcya,phe__L,pe180,pdx5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiAR,pa141,murein5p3p,fecost,glc__D,gal,crm,glu__L,pa160,4abut,colipap,maltpt,cys__L,pe1819Z1845Z9Z12Z15Z,k,enlipidA,pgp18111Z160,fe3,pa181,citr__L,gal__L,pe1819Z1819Z,fecrm,pg1819Z160,glyb,enlipidA_LptA,g3pi,his__L,so4,glyc3p,thm,ps181,sprm,pg181,pro__L,colipa,ni2,orn,lido,zn2,g3pc,protein,taur,kdo2lipid4,ddca,dca,pg18111Z160,pgp1819Z160,ocdcea,no3,ttdca,fe3dcit,maltttr,tsul,eca4colipa,ser__L,mn2,mobd,malthx,pail1819Z160,pg180,ile__L,pe1801835Z9Z12Z,glyc2p,pyr,pgp141,met__D,lipoate,o16a4colipa,sphmyln,nmn,zymst,succ,pe140,asn__L,ps160,pe1801845Z9Z12Z15Z,cit,tchola,tyr__L,murein5px3p,met__L,so3,ps140,5fthf,pgp161,lac__L,hghhlipan,cu,no2,lipa,pe181,trp__L,pe1819Z1835Z9Z12Z,ferrich,pail18111Z160,val__L,crn,pe1819Z1829Z12Z,fum,g3pg,pe120,asp__L,na1,degly,ptrc,isetac,mg2,ps120,h,lipa_cold,feoxam,pe141,ocdca,ac,hghhlipa,acolipa,egly,rib__D,pe18111Z1845Z9Z12Z15Z,ps161,chsterol,pe18111Z1829Z12Z,malt,ps180,inost,pgp180,tungs,cobalt2,hco3,chitob,pe18111Z1835Z9Z12Z,meglyxyl,pi,LptA,spmd,14glucan,pe1801819Z,fe3hox,thrthrarg,murein3px3p,hxa,arab__L,pa120,octa,gthrd,phephethr,pgp181,pgp120,pa180,enlipa,pa140,pg120,epist,pe1829Z12Z1835Z9Z12Z,pgp160,g1p,pg141,glyc,h2o,all__D,alaala,lys__L,butso3,pe160,fru,arg__L,fe2,murein3p3p,26dmani,xyl__D,pgp140,g3pe,cu2,ergst,cl,cpgn,ca2,pnto__R,lanost,hdcea,pg161,chol,pe1801829Z12Z,etha,for,leu__L,ala__L,pheme,mal__L,pg160,ps141,pg140,pe18111Z1819Z,cro4,pa161,malttr,gln__L,ttdcea,pe161,g3ps,hdca,arbtn_fe3,man,drib,pe180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziCLBrenerNon-Esmeraldo-lik,pa141,fecost,mettrpphe,glc__D,gal,glu__L,pa160,gam,ascb__L,cys__L,hexc,pe1819Z1845Z9Z12Z15Z,k,pgp18111Z160,gmp,fe3,pa181,pe1819Z1819Z,fecrm,pg1819Z160,glyb,his__L,so4,thm,ps181,LalaDgluMdap,pg181,pro__L,colipa,ni2,sbt__D,orn,zn2,protein,taur,kdo2lipid4,ddca,dca,pg18111Z160,pgp1819Z160,ocdcea,chtbs,clpn141,LalaDgluMdapDala,actn__R,ttdca,ser__L,tsul,mn2,mobd,gly,pail1819Z160,acmana,ile__L,mnl,cd2,pe1801835Z9Z12Z,pg180,pgp141,met__D,zymst,pe140,asn__L,ps160,pe1801845Z9Z12Z15Z,cit,tchola,tyr__L,met__L,ps140,pgp161,pqh2,hghhlipan,cu,arbt,lipa,pe181,pe1819Z1835Z9Z12Z,metox,pail18111Z160,val__L,crn__D,crn,pe1819Z1829Z12Z,glyald,pe120,urea,asp__L,na1,nh4,ptrc,isetac,mg2,tre,ps120,h,lipa_cold,feoxam,pe141,ocdca,ac,hghhlipa,rib__D,co2,pe18111Z1845Z9Z12Z15Z,ps161,pe18111Z1829Z12Z,malt,ps180,inost,pgp180,sucr,cobalt2,pq,chitob,spmd,pe18111Z1835Z9Z12Z,pi,pe1801819Z,prolb,fe3hox,ctbt,acmum,arab__L,hxa,pa120,octa,gthrd,phephethr,pgp181,pgp120,galur,pa180,pa140,pg120,manglyc,metox__R,epist,pe1829Z12Z1835Z9Z12Z,pgp160,g1p,acgam,pg141,glyc,glcur,h2o,lys__L,butso3,pe160,fru,arg__L,fe2,xyl__D,pgp140,cu2,ergst,cl,cpgn,ca2,lanost,hdcea,pg161,chol,pe1801829Z12Z,leu__L,ala__L,pheme,gm1lipa,pg160,ps141,galt,gm2lipa,pg140,pe18111Z1819Z,pa161,gdp,gln__L,ttdcea,pe161,hdca,thr__L,arbtn_fe3,man,pe180,arsenb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiRU,pa141,murein5p3p,fecost,glc__D,gal,crm,4abut,pa160,glu__L,colipap,maltpt,cys__L,pe1819Z1845Z9Z12Z15Z,k,enlipidA,pgp18111Z160,fe3,pa181,citr__L,gal__L,pe1819Z1819Z,pg1819Z160,enlipidA_LptA,glyb,g3pi,his__L,so4,enter,glyc3p,ps181,sprm,pg181,pro__L,colipa,ni2,orn,lido,zn2,g3pc,protein,taur,kdo2lipid4,ddca,dca,pg18111Z160,pgp1819Z160,ocdcea,ttdca,fe3dcit,maltttr,tsul,eca4colipa,ser__L,mn2,mobd,malthx,pail1819Z160,pg180,ile__L,pe1801835Z9Z12Z,glyc2p,pyr,pgp141,met__D,sphmyln,o16a4colipa,lipoate,zymst,succ,pe140,asn__L,ps160,pe1801845Z9Z12Z15Z,cit,tchola,tyr__L,murein5px3p,met__L,so3,ps140,pgp161,lac__L,hghhlipan,cu,no2,lipa,pe181,trp__L,pe1819Z1835Z9Z12Z,ferrich,pail18111Z160,val__L,crn,pe1819Z1829Z12Z,fum,g3pg,pe120,asp__L,na1,degly,nh4,ptrc,isetac,mg2,ps120,h,lipa_cold,pe141,ocdca,ac,hghhlipa,acolipa,egly,rib__D,fmn,pe18111Z1845Z9Z12Z15Z,ps161,chsterol,pe18111Z1829Z12Z,malt,ps180,inost,pgp180,tungs,cobalt2,chitob,pe18111Z1835Z9Z12Z,meglyxyl,pi,LptA,spmd,14glucan,pe1801819Z,thrthrarg,murein3px3p,hxa,pa120,octa,gthrd,phephethr,pgp181,pgp120,salchs4,pa180,enlipa,pa140,pg120,epist,pe1829Z12Z1835Z9Z12Z,pgp160,g1p,pg141,glyc,h2o,alaala,lys__L,butso3,pe160,fru,arg__L,fe2,murein3p3p,26dmani,xyl__D,pgp140,g3pe,cu2,ergst,cl,ca2,pnto__R,lanost,hdcea,pg161,chol,pe1801829Z12Z,etha,for,leu__L,ala__L,pheme,mal__L,pg160,ps141,pg140,pe18111Z1819Z,cro4,pa161,malttr,gln__L,ttdcea,pe161,g3ps,hdca,man,drib,pe180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfragileNilgir,pa141,fecost,glc__D,gal,pa160,colipap,cys__L,pe1819Z1845Z9Z12Z15Z,k,enlipidA,pgp18111Z160,h2o2,gmp,fe3,pa181,pail,pe1819Z1819Z,pg1819Z160,enlipidA_LptA,glyb,so4,enter,ps181,pg181,pro__L,colipa,ni2,orn,zn2,glucan6,protein,taur,kdo2lipid4,ddca,dca,pg18111Z160,pgp1819Z160,ocdcea,clpn141,ttdca,tsul,eca4colipa,mn2,mobd,pail1819Z160,pg180,cd2,pe1801835Z9Z12Z,pgp141,met__D,o16a4colipa,zymst,pe140,glucan1500,ps160,pe1801845Z9Z12Z15Z,cit,tchola,met__L,so3,ps140,pgp161,lac__L,hghhlipan,cu,no2,lipa,pe181,pe1819Z1835Z9Z12Z,ferrich,hb,pail18111Z160,pe1819Z1829Z12Z,glyald,pe120,urea,na1,nh4,ptrc,mg2,ps120,h,lipa_cold,pe141,ocdca,ac,hghhlipa,acolipa,rib__D,co2,pe18111Z1845Z9Z12Z15Z,ps161,hemozoin,pe18111Z1829Z12Z,ps180,pgp180,tungs,cobalt2,chitob,spmd,pe18111Z1835Z9Z12Z,pi,LptA,pe1801819Z,thrthrarg,hxa,arab__L,pa120,octa,gthrd,pgp181,pgp120,lyspheile,salchs4,pa180,enlipa,pa140,pg120,thmmp,epist,pe1829Z12Z1835Z9Z12Z,pgp160,pg141,glyc,h2o,ptd1ino,pe160,fru,arg__L,fe2,xyl__D,pgp140,cu2,ergst,ca2,lanost,hdcea,pg161,chol,pe1801829Z12Z,lystyrile,for,pheme,pg160,ps141,pg140,gthox,pe18111Z1819Z,cro4,pa161,gdp,gln__L,ttdcea,pe161,s,hdca,man,ileargile,drib,pe180,lyslyslys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LdonovaniBPK282A,pa141,fecost,glc__D,lcts,gal,glu__L,pa160,colipap,xylb,gam,ascb__L,cys__L,hexc,mepi,pe1819Z1845Z9Z12Z15Z,k,enlipidA,pgp18111Z160,gmp,fe3,pa181,tyrtrpphe,pe1819Z1819Z,fecrm,pg1819Z160,glyb,enlipidA_LptA,his__L,so4,enter,xylan4,phetyrlys,thm,galman6,ps181,pg181,pro__L,colipa,ni2,sbt__D,orn,zn2,glucan6,protein,taur,kdo2lipid4,ddca,dca,pg18111Z160,pgp1819Z160,ocdcea,chtbs,clpn141,actn__R,5mthf,no3,ttdca,fe3dcit,tsul,eca4colipa,12ppd__S,mn2,mobd,gly,pail1819Z160,acmana,ile__L,mnl,cd2,pe1801835Z9Z12Z,pg180,pgp141,met__D,nmn,o16a4colipa,glcman6,zymst,pe140,ps160,pe1801845Z9Z12Z15Z,tchola,serphelys,met__L,ps140,pgp161,hghhlipan,pqh2,cu,arbt,lipa,pe181,pe1819Z1835Z9Z12Z,pail18111Z160,val__L,crn,pe1819Z1829Z12Z,glyald,pe120,urea,asp__L,na1,nh4,ptrc,isetac,mg2,tre,ps120,h,lipa_cold,feoxam,pe141,ocdca,ac,hghhlipa,acolipa,rib__D,co2,pe18111Z1845Z9Z12Z15Z,ps161,pe18111Z1829Z12Z,crm_hs,malt,phdca,ps180,inost,pgp180,tungs,sucr,cobalt2,hco3,pq,chitob,pe18111Z1835Z9Z12Z,LptA,pi,pe1801819Z,prolb,fe3hox,gluside_hs,acmum,arab__L,hxa,pa120,octa,gthrd,pgp181,pgp120,salchs4,lyslyslys,pa180,enlipa,pa140,pg120,manglyc,epist,pe1829Z12Z1835Z9Z12Z,pgp160,g1p,acgam,pg141,glyc,h2o,alaala,butso3,pe160,fru,arg__L,fe2,xyl__D,xyl3,pgp140,cu2,ergst,cpgn,ca2,lanost,hdcea,pg161,chol,pe1801829Z12Z,leu__L,ala__L,glucan4,pheme,gm1lipa,pg160,ps141,galt,gm2lipa,pg140,arab__D,pe18111Z1819Z,pa161,malttr,gdp,gln__L,ttdcea,pe161,hdca,thr__L,arbtn_fe3,man,lac__D,drib,pe180,arsenb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiGAB2-2007-GAL-DOM,pa141,murein5p3p,fecost,glc__D,gal,crm,pchol_hs,4abut,pa160,glu__L,colipap,cys__L,pe1819Z1845Z9Z12Z15Z,k,enlipidA,pgp18111Z160,argarg,HC00005,fe3,pa181,citr__L,gal__L,pe1819Z1819Z,fecrm,pg1819Z160,glyb,enlipidA_LptA,so4,enter,glyc3p,thm,ps181,sprm,pg181,pro__L,colipa,ni2,lido,orn,zn2,protein,taur,kdo2lipid4,ddca,dca,pg18111Z160,pgp1819Z160,ocdcea,HC00009,ttdca,fe3dcit,tsul,eca4colipa,ser__L,hislysthr,mn2,mobd,pail1819Z160,pg180,ile__L,pe1801835Z9Z12Z,pyr,pgp141,met__D,sphmyln,o16a4colipa,lipoate,zymst,succ,pe140,asn__L,ps160,pe1801845Z9Z12Z15Z,mag_hs,cit,tchola,tyr__L,murein5px3p,met__L,so3,ps140,pgp161,lac__L,hghhlipan,cu,no2,lipa,pe181,trp__L,pe1819Z1835Z9Z12Z,pchol_cho,pail18111Z160,val__L,crn,pe1819Z1829Z12Z,fum,lpchol_cho,pe120,asp__L,na1,degly,nh4,HC00004,HC00007,ptrc,isetac,mg2,ps120,h,lipa_cold,feoxam,pe141,ocdca,ac,hghhlipa,acolipa,egly,rib__D,pe18111Z1845Z9Z12Z15Z,ps161,chsterol,pe18111Z1829Z12Z,ps180,inost,pgp180,tungs,cobalt2,chitob,spmd,pe18111Z1835Z9Z12Z,pi,meglyxyl,LptA,pe1801819Z,fe3hox,murein3px3p,hxa,pa120,octa,gthrd,pgp181,pgp120,salchs4,pa180,Rtotal,enlipa,HC00008,pa140,pg120,pcholn28_hs,epist,pe1829Z12Z1835Z9Z12Z,pgp160,g1p,pg141,glyc,h2o,butso3,pe160,fru,arg__L,fe2,Rtotal3,murein3p3p,ldl_hs,HC00006,26dmani,xyl__D,pgp140,cu2,ergst,cl,cpgn,ca2,pnto__R,lanost,tag_hs,hdcea,pg161,chol,pe1801829Z12Z,etha,for,leu__L,ala__L,pheme,mal__L,pg160,ps141,phethrlys,pg140,pe18111Z1819Z,cro4,pa161,hdl_hs,gln__L,ttdcea,pe161,hdca,arbtn_fe3,man,drib,pe180,lyslyslys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CmurisRN6,cbl2,pa141,fecost,glc__D,gal,glu__L,pa160,rmn,cys__L,pe1819Z1845Z9Z12Z15Z,k,pgp18111Z160,lysvalphe,fe3,pa181,pe1819Z1819Z,pg1819Z160,so4,enter,glyc3p,ps181,pg181,pro__L,colipa,ni2,orn,lido,zn2,protein,taur,kdo2lipid4,ddca,dca,pg18111Z160,pgp1819Z160,ocdcea,clpn141,ttdca,tsul,hislysthr,mn2,mobd,pail1819Z160,pg180,ile__L,cd2,pe1801835Z9Z12Z,pgp141,met__D,argserser,zymst,pe140,asn__L,ps160,pe1801845Z9Z12Z15Z,cit,tchola,tyr__L,met__L,so3,ps140,pgp161,hghhlipan,cu,lipa,pe181,pe1819Z1835Z9Z12Z,ferrich,metox,pail18111Z160,pe1819Z1829Z12Z,pe120,asp__L,na1,pap,degly,isetac,mg2,ps120,h,lipa_cold,pe141,ocdca,ac,hghhlipa,egly,rib__D,pe18111Z1845Z9Z12Z15Z,ps161,valtrpval,pe18111Z1829Z12Z,ps180,inost,pgp180,salchs2fe,tungs,sucr,cobalt2,chitob,pe18111Z1835Z9Z12Z,meglyxyl,pi,pe1801819Z,fe3dhbzs,thrthrarg,hxa,arab__L,pa120,octa,gthrd,pgp181,pgp120,galur,salchs4,pa180,pa140,pg120,metox__R,epist,pe1829Z12Z1835Z9Z12Z,pgp160,salchs4fe,g1p,pg141,glyc,glcur,h2o,alaala,butso3,feenter,pe160,fru,arg__L,fe2,26dmani,xyl__D,pgp140,cu2,ergst,ca2,lanost,hdcea,pg161,pe1801829Z12Z,leu__L,pheme,pg160,ps141,phethrlys,pg140,pe18111Z1819Z,cro4,pa161,malttr,gln__L,ttdcea,pe161,hdca,man,ferxa,pe180,lyslyslys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
