,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
no_ortho_EcuniculiEC,k,ctbt,epist,glyb,pgp1819Z160,mn2,xyl__D,pe18111Z1835Z9Z12Z,cysleuthr,ps180,dca,so4,colipap,o16a4colipa,his__L,arsenb,pe1801845Z9Z12Z15Z,valleuphe,butso3,rib__D,ptrc,chol,so3,pail18111Z160,hghhlipan,pgp160,pa161,enlipidA,gthrd,ps160,adprib,pg120,murein5px3p,pheme,fecost,octa,cys__L,pe1829Z12Z1835Z9Z12Z,pgp161,glntyrleu,pa181,enlipa,chitob,pe1819Z1829Z12Z,pe1801835Z9Z12Z,zymst,pe141,ttdca,h2o,pe1819Z1835Z9Z12Z,pa120,tungs,murein5p3p,mg2,spmd,sulfac,hghhlipa,arg__L,murein3p3p,argserser,pa160,pe18111Z1829Z12Z,cgly,h,pe18111Z1845Z9Z12Z15Z,fe2,pi,cobalt2,ps120,pg180,pgp141,lipa_cold,pe1819Z1845Z9Z12Z15Z,isetac,ni2,colipa,lanost,pg161,ddca,met__D,eca4colipa,pe120,pg18111Z160,pg1819Z160,gthox,pe161,zn2,met__L,cu,ethso3,ectoine,ergst,gbbtn,orn,pgp180,murein3px3p,cit,fe3,pgp120,chols,ps141,ileargile,cro4,valserarg,ttdcea,mobd,pe180,pe18111Z1819Z,protein,leuleutrp,pg181,ps140,pg160,pg140,hxa,cd2,ps161,asp__L,hdca,pgp140,na1,thrasntyr,pail1819Z160,pe1801819Z,kdo2lipid4,pro__L,ocdca,prolb,all__D,hdcea,pe181,enlipidA_LptA,fol,pa180,pa140,h2o2,ocdcea,glu__L,pepd,ca2,crn,ferrich,pa141,LptA,pe1819Z1819Z,mso3,lipa,lys__L,gal,pe140,ps181,pe160,tsul,pgp181,pe1801829Z12Z,pg141,acolipa,pgp18111Z160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TevansiSTIB80,k,glyc,epist,glc__D,pgp1819Z160,mn2,xyl__D,pe18111Z1835Z9Z12Z,ps180,dca,sbt__D,so4,cu2,o16a4colipa,colipap,his__L,pe1801845Z9Z12Z15Z,man,butso3,urea,arbtn_fe3,ptrc,pail18111Z160,hghhlipan,lyslyslys,pgp160,pa161,enlipidA,gthrd,ps160,leu__L,pg120,enter,sucr,xylan4,pqh2,pheme,acgam,g3ps,feoxam,cys__L,octa,fecost,gdp,gly,pe1829Z12Z1835Z9Z12Z,pgp161,pa181,enlipa,chitob,pe1819Z1829Z12Z,pe1801835Z9Z12Z,gln__L,ala__L,zymst,pe141,ttdca,h2o,fecrm,tre,pe1819Z1835Z9Z12Z,pa120,mg2,spmd,gam,sulfac,arg__L,hghhlipa,pa160,pe18111Z1829Z12Z,h,fe3hox,g3pg,pe18111Z1845Z9Z12Z15Z,fe2,pi,cobalt2,ps120,12ppd__S,actn__R,pg180,tyr__L,pgp141,lipa_cold,ac,gmp,pe1819Z1845Z9Z12Z15Z,isetac,clpn141,ni2,colipa,lanost,ser__L,pg161,ddca,eca4colipa,pe120,pg18111Z160,arbt,pg1819Z160,pe161,zn2,mnl,cu,ethso3,ergst,tchola,cpgn,orn,pgp180,chtbs,pgp120,fe3,ps141,thr__L,inost,pq,ttdcea,mobd,pe180,fru,pe18111Z1819Z,phepheasn,g3pc,protein,pg181,ps140,pg160,pg140,hxa,glyc2p,cd2,ps161,asp__L,hdca,malt,mettrpphe,pgp140,na1,pail1819Z160,taur,g3pe,pe1801819Z,kdo2lipid4,ocdca,cl,co2,hdcea,Lcyst,val__L,pe181,enlipidA_LptA,pa180,pa140,ocdcea,ascb__L,manglyc,glu__L,galt,metphearg,ca2,glyald,ferrich,pa141,LptA,pe1819Z1819Z,asn__L,cbl2,acmum,g3pi,mso3,lipa,glyc3p,gal,acmana,pe140,pe160,ps181,tsul,pgp181,pe1801829Z12Z,pg141,ile__L,acolipa,pgp18111Z160,salchs4,arab__L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumTG0,12dgr181,k,2agpe140,glyc,epist,glc__D,pgp1819Z160,mn2,xyl__D,pe18111Z1835Z9Z12Z,ps180,dca,so4,o16a4colipa,colipap,cu2,his__L,pe1801845Z9Z12Z15Z,man,2agpg141,2agpg161,urea,rib__D,mal__L,ptrc,12dgr140,cdpdag,so3,2agpe141,chol,pail18111Z160,hghhlipan,succ,pgp160,5mthf,pa161,dcacoa,enlipidA,gthrd,ps160,leu__L,12dgr160,pdx5p,pg120,enter,no2,Rtotal,xolest2,pydxn,2agpe161,cdpdhdec9eg,camp,pheme,fecost,ipdp,octa,cys__L,pnto__R,gly,pe1829Z12Z1835Z9Z12Z,pgp161,2agpe160,xan,lipoate,pa181,enlipa,chitob,pe1819Z1829Z12Z,pe1801835Z9Z12Z,o2s,gln__L,ala__L,CE5022,zymst,dsbaox,pe141,hemozoin,ttdca,dgsn,cdpdddecg,h2o,cdpdodec11eg,gsn,thm,pe1819Z1835Z9Z12Z,tag,pa120,tungs,ins,mg2,spmd,hghhlipa,chsterol,arg__L,avite1,pa160,pe18111Z1829Z12Z,tdecoa,h,dsbard,2agpg160,pe18111Z1845Z9Z12Z15Z,fe2,pi,cobalt2,ps120,lac__L,2agpe120,12dgr180,pc,pgp141,pg180,tyr__L,lipa_cold,coa,2ddecg3p,ac,ficytc6,pe1819Z1845Z9Z12Z15Z,clpn141,ni2,colipa,protein_t,nh4,lanost,pcox,pg161,ser__L,no3,ddca,met__D,eca4colipa,pe120,tdcoa,pg18111Z160,pe,pg1819Z160,pe161,zn2,focytc6,cdpdtdecg,5fthf,met__L,sphmyln,cu,adn,ergst,tchola,odecoa,2agpg120,orn,pgp180,hxan,din,2agpg181,hxcoa,cit,fe3,pgp120,ps141,2agpe180,thr__L,cro4,atp,ileargile,gua,ttdcea,mobd,pe180,2agpg180,for,fru,pe18111Z1819Z,protein,pg181,ps140,pg160,pg140,hxa,hb,phe__L,cd2,ps161,ddcacoa,12dgr161,dag,o2,asp__L,hdca,pgp140,na1,pail1819Z160,fum,taur,gluside,pe1801819Z,kdo2lipid4,pail,pro__L,ocdca,hdcoa,cysi__L,co2,dolichol,dad_2,stcoa,hdcea,pe181,val__L,enlipidA_LptA,occoa,pa180,pa140,pap,ocdcea,glu__L,Rtotalcoa,ca2,glyald,12dgr120,ferrich,pa141,LptA,pe1819Z1819Z,cdpdtdec7eg,2agpg140,cdpdhdecg,asn__L,ade,lipa,pcrd,amet,lys__L,gal,pe140,ps181,pe160,pmtcoa,gthox_protein,12dgr141,tsul,trp__L,pgp181,2agpe181,pe1801829Z12Z,pg141,cdpdodecg,ile__L,citr__L,acolipa,pgp18111Z160,salchs4,arab__L,35cgmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiAR,k,glyc,epist,glyb,glc__D,pgp1819Z160,mn2,xyl__D,pe18111Z1835Z9Z12Z,ps180,dca,so4,maltttr,cu2,o16a4colipa,colipap,his__L,hco3,butso3,pe1801845Z9Z12Z15Z,man,mal__L,rib__D,arbtn_fe3,ptrc,chol,so3,pail18111Z160,hghhlipan,succ,pgp160,pa161,enlipidA,gthrd,etha,ps160,leu__L,pg120,no2,murein5px3p,14glucan,pheme,feoxam,g3ps,octa,cys__L,fecost,pnto__R,pe1829Z12Z1835Z9Z12Z,pgp161,maltpt,lipoate,pa181,enlipa,chitob,pe1819Z1829Z12Z,pe1801835Z9Z12Z,gln__L,ala__L,zymst,pe141,ttdca,h2o,fecrm,thm,pe1819Z1835Z9Z12Z,g1p,pa120,tungs,murein5p3p,mg2,hghhlipa,spmd,chsterol,arg__L,murein3p3p,lido,pe18111Z1829Z12Z,pa160,h,fe3hox,g3pg,pe18111Z1845Z9Z12Z15Z,fe2,pi,cobalt2,ps120,lac__L,sprm,malthx,pgp141,tyr__L,fe3dcit,pg180,lipa_cold,ac,pe1819Z1845Z9Z12Z15Z,malttr,isetac,ni2,egly,colipa,lanost,ser__L,pg161,no3,degly,ddca,met__D,eca4colipa,pe120,pg18111Z160,pg1819Z160,pe161,zn2,5fthf,met__L,sphmyln,cu,ergst,tchola,cpgn,orn,pgp180,murein3px3p,pgp120,fe3,cit,ps141,cro4,inost,pyr,ttdcea,mobd,pe180,fru,for,pe18111Z1819Z,g3pc,protein,pg181,ps140,pg160,pg140,26dmani,hxa,glyc2p,ps161,4abut,asp__L,hdca,malt,gal__L,alaala,pgp140,na1,pail1819Z160,fum,taur,g3pe,pe1801819Z,kdo2lipid4,pro__L,ocdca,phephethr,cl,all__D,hdcea,pe181,val__L,enlipidA_LptA,pa180,pa140,ocdcea,glu__L,ca2,crn,ferrich,pa141,LptA,pe1819Z1819Z,asn__L,meglyxyl,g3pi,crm,lipa,glyc3p,lys__L,gal,pe140,ps181,pe160,drib,tsul,trp__L,pgp181,pe1801829Z12Z,pg141,ile__L,citr__L,acolipa,thrthrarg,pgp18111Z160,arab__L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziCLBrenerNon-Esmeraldo-lik,k,glyc,ctbt,epist,glyb,glc__D,pgp1819Z160,mn2,xyl__D,pe18111Z1835Z9Z12Z,ps180,dca,sbt__D,pheglnphe,so4,cu2,his__L,arsenb,pe1801845Z9Z12Z15Z,man,butso3,urea,rib__D,arbtn_fe3,ptrc,chol,pail18111Z160,hghhlipan,pgp160,LalaDgluMdap,pa161,gthrd,ps160,leu__L,pg120,sucr,pqh2,pheme,acgam,feoxam,octa,cys__L,fecost,gdp,gly,pe1829Z12Z1835Z9Z12Z,pgp161,pa181,chitob,pe1819Z1829Z12Z,pe1801835Z9Z12Z,gln__L,ala__L,zymst,pe141,ttdca,h2o,fecrm,tre,thm,pe1819Z1835Z9Z12Z,g1p,pa120,mg2,spmd,gam,hghhlipa,arg__L,pa160,pe18111Z1829Z12Z,h,fe3hox,pe18111Z1845Z9Z12Z15Z,metox,fe2,pi,cobalt2,ps120,actn__R,pg180,tyr__L,pgp141,lipa_cold,ac,gmp,hexc,galur,pe1819Z1845Z9Z12Z15Z,isetac,clpn141,ni2,colipa,nh4,lanost,ser__L,pg161,ddca,met__D,pe120,gm1lipa,pg18111Z160,arbt,pg1819Z160,glcur,pe161,zn2,mnl,trpiletrp,met__L,gm2lipa,cu,crn__D,ergst,tchola,cpgn,orn,pgp180,chtbs,cit,fe3,pgp120,ps141,thr__L,inost,pq,ttdcea,mobd,pe180,fru,pe18111Z1819Z,protein,pg181,ps140,pg160,pg140,hxa,LalaDgluMdapDala,cd2,ps161,asp__L,hdca,malt,pgp140,na1,pail1819Z160,taur,pe1801819Z,kdo2lipid4,pro__L,ocdca,cl,prolb,co2,hdcea,pe181,val__L,pa180,pa140,ocdcea,ascb__L,manglyc,glu__L,galt,ca2,glyald,crn,pa141,pe1819Z1819Z,asn__L,acmum,metox__R,lipa,lys__L,gal,acmana,ps181,pe140,pe160,tsul,pgp181,pe1801829Z12Z,pg141,ile__L,pgp18111Z160,arab__L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiRU,k,glyc,epist,glyb,glc__D,pgp1819Z160,mn2,xyl__D,pe18111Z1835Z9Z12Z,ps180,dca,so4,o16a4colipa,maltttr,cu2,colipap,his__L,pe1801845Z9Z12Z15Z,butso3,man,mal__L,rib__D,ptrc,chol,so3,pail18111Z160,hghhlipan,succ,pgp160,pa161,enlipidA,gthrd,etha,ps160,leu__L,nmn,pg120,enter,no2,murein5px3p,14glucan,pheme,fecost,g3ps,octa,cys__L,pe1829Z12Z1835Z9Z12Z,pgp161,maltpt,lipoate,pa181,enlipa,chitob,pe1819Z1829Z12Z,pe1801835Z9Z12Z,gln__L,ala__L,zymst,pe141,ttdca,h2o,pe1819Z1835Z9Z12Z,g1p,pa120,tungs,murein5p3p,mg2,hghhlipa,chsterol,spmd,arg__L,murein3p3p,lido,pe18111Z1829Z12Z,pa160,h,g3pg,pe18111Z1845Z9Z12Z15Z,fe2,pi,cobalt2,ps120,sprm,lac__L,malthx,pgp141,tyr__L,fe3dcit,pg180,lipa_cold,ac,pe1819Z1845Z9Z12Z15Z,malttr,isetac,ni2,egly,colipa,nh4,lanost,ser__L,pg161,degly,ddca,met__D,eca4colipa,pe120,pg18111Z160,pg1819Z160,pe161,zn2,met__L,sphmyln,cu,ergst,tchola,orn,pgp180,murein3px3p,pgp120,fe3,cit,ps141,cro4,inost,pyr,ttdcea,mobd,pe180,fru,for,pe18111Z1819Z,g3pc,protein,pg181,ps140,pg160,pg140,26dmani,hxa,glyc2p,ps161,4abut,asp__L,hdca,malt,gal__L,alaala,pgp140,na1,pail1819Z160,fum,taur,g3pe,pe1801819Z,kdo2lipid4,pro__L,ocdca,phephethr,cl,hdcea,pe181,val__L,enlipidA_LptA,pa180,pa140,ocdcea,glu__L,ca2,crn,ferrich,pa141,LptA,pe1819Z1819Z,asn__L,meglyxyl,g3pi,crm,lipa,glyc3p,lys__L,gal,ps181,pe140,pe160,drib,tsul,trp__L,pgp181,pe1801829Z12Z,pg141,ile__L,citr__L,acolipa,thrthrarg,pgp18111Z160,salchs4,pnto__R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfragileNilgir,k,glyc,epist,glyb,glc__D,pgp1819Z160,mn2,xyl__D,pe18111Z1835Z9Z12Z,ps180,dca,so4,o16a4colipa,cu2,colipap,pe1801845Z9Z12Z15Z,man,urea,rib__D,ptrc,chol,so3,pail18111Z160,hghhlipan,lyslyslys,pgp160,pa161,enlipidA,gthrd,ps160,pg120,enter,no2,glucan6,pheme,fecost,octa,cys__L,gdp,lystyrile,pe1829Z12Z1835Z9Z12Z,lyspheile,pgp161,pa181,enlipa,chitob,pe1819Z1829Z12Z,pe1801835Z9Z12Z,gln__L,zymst,pe141,hemozoin,ttdca,h2o,pe1819Z1835Z9Z12Z,thmmp,pa120,tungs,mg2,spmd,hghhlipa,arg__L,pa160,pe18111Z1829Z12Z,h,pe18111Z1845Z9Z12Z15Z,fe2,pi,cobalt2,ps120,lac__L,pgp141,pg180,lipa_cold,ac,gmp,pe1819Z1845Z9Z12Z15Z,nadp,clpn141,ni2,colipa,nh4,lanost,pg161,ddca,met__D,eca4colipa,pe120,pg18111Z160,pg1819Z160,gthox,pe161,zn2,met__L,cu,ergst,tchola,orn,pgp180,cit,fe3,pgp120,ps141,ileargile,cro4,ttdcea,mobd,pe180,fru,for,pe18111Z1819Z,protein,pg181,ps140,pg160,pg140,hxa,hb,cd2,ps161,hdca,pgp140,na1,pail1819Z160,taur,pe1801819Z,kdo2lipid4,pail,pro__L,ocdca,co2,hdcea,pe181,glucan1500,enlipidA_LptA,pa180,pa140,h2o2,ocdcea,ca2,glyald,ferrich,pa141,LptA,pe1819Z1819Z,lipa,gal,pe140,ps181,pe160,drib,tsul,pgp181,ptd1ino,pe1801829Z12Z,pg141,acolipa,thrthrarg,pgp18111Z160,salchs4,arab__L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LdonovaniBPK282A,k,glyc,epist,glyb,glc__D,pgp1819Z160,mn2,xyl__D,pe18111Z1835Z9Z12Z,ps180,dca,sbt__D,so4,o16a4colipa,cu2,colipap,his__L,hco3,arsenb,man,butso3,pe1801845Z9Z12Z15Z,urea,rib__D,arbtn_fe3,ptrc,chol,pail18111Z160,hghhlipan,lyslyslys,pgp160,pa161,enlipidA,gthrd,ps160,leu__L,arab__D,pg120,enter,sucr,lcts,xylan4,pqh2,glucan6,pheme,acgam,feoxam,octa,cys__L,xylb,fecost,gdp,gly,pe1829Z12Z1835Z9Z12Z,pgp161,pa181,enlipa,chitob,pe1819Z1829Z12Z,pe1801835Z9Z12Z,gln__L,ala__L,zymst,pe141,ttdca,h2o,fecrm,phetyrlys,tre,thm,pe1819Z1835Z9Z12Z,g1p,pa120,tungs,mg2,hghhlipa,gam,arg__L,pa160,pe18111Z1829Z12Z,h,fe3hox,pe18111Z1845Z9Z12Z15Z,fe2,pi,cobalt2,ps120,12ppd__S,actn__R,pgp141,pg180,fe3dcit,tyrtrpphe,lipa_cold,ac,gmp,hexc,pe1819Z1845Z9Z12Z15Z,isetac,clpn141,ni2,colipa,nh4,lanost,pg161,no3,ddca,met__D,eca4colipa,pe120,gm1lipa,pg18111Z160,arbt,pg1819Z160,pe161,zn2,mnl,xyl3,met__L,gm2lipa,cu,ergst,tchola,cpgn,orn,pgp180,chtbs,pgp120,fe3,ps141,thr__L,inost,pq,ttdcea,mobd,pe180,fru,pe18111Z1819Z,protein,glucan4,pg181,ps140,pg160,pg140,hxa,cd2,ps161,asp__L,hdca,malt,alaala,pgp140,na1,pail1819Z160,taur,pe1801819Z,kdo2lipid4,pro__L,serphelys,ocdca,prolb,co2,hdcea,pe181,val__L,enlipidA_LptA,pa180,pa140,ocdcea,ascb__L,manglyc,glu__L,galt,ca2,glyald,crn,pa141,LptA,pe1819Z1819Z,acmum,lipa,gal,acmana,pe140,pe160,ps181,drib,tsul,pgp181,pe1801829Z12Z,pg141,ile__L,lac__D,acolipa,pgp18111Z160,salchs4,arab__L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiGAB2-2007-GAL-DOM,k,glyc,epist,glyb,glc__D,pgp1819Z160,mn2,xyl__D,pe18111Z1835Z9Z12Z,ps180,dca,so4,o16a4colipa,cu2,colipap,pe1801845Z9Z12Z15Z,butso3,man,mal__L,rib__D,arbtn_fe3,hislysthr,ptrc,chol,so3,pail18111Z160,hghhlipan,succ,pgp160,lyslyslys,pa161,enlipidA,gthrd,etha,ps160,leu__L,pg120,enter,no2,murein5px3p,pheme,feoxam,fecost,octa,cys__L,pe1829Z12Z1835Z9Z12Z,pgp161,lipoate,pa181,enlipa,chitob,pe1819Z1829Z12Z,pe1801835Z9Z12Z,gln__L,ala__L,zymst,pe141,ttdca,h2o,fecrm,thm,pe1819Z1835Z9Z12Z,g1p,pa120,tungs,murein5p3p,mg2,spmd,hghhlipa,chsterol,arg__L,murein3p3p,argarg,lido,pe18111Z1829Z12Z,pa160,h,fe3hox,pe18111Z1845Z9Z12Z15Z,fe2,pi,cobalt2,ps120,sprm,lac__L,pgp141,tyr__L,fe3dcit,pg180,lipa_cold,ac,pe1819Z1845Z9Z12Z15Z,isetac,ni2,egly,colipa,nh4,lanost,ser__L,pg161,degly,ddca,met__D,eca4colipa,pe120,pg18111Z160,pg1819Z160,pe161,zn2,5fthf,met__L,sphmyln,cu,ergst,tchola,cpgn,pgp180,orn,murein3px3p,cit,fe3,pgp120,ps141,cro4,inost,pyr,ttdcea,mobd,pe180,fru,for,pe18111Z1819Z,protein,pg181,ps140,pg160,pg140,26dmani,hxa,ps161,4abut,asp__L,hdca,gal__L,pgp140,na1,pail1819Z160,fum,taur,pe1801819Z,kdo2lipid4,pro__L,ocdca,cl,hdcea,pe181,val__L,enlipidA_LptA,pa180,pa140,ocdcea,glu__L,ca2,crn,pa141,LptA,pe1819Z1819Z,asn__L,meglyxyl,phethrlys,crm,lipa,glyc3p,gal,ps181,pe140,pe160,drib,tsul,trp__L,pgp181,pe1801829Z12Z,pg141,ile__L,citr__L,acolipa,pgp18111Z160,salchs4,pnto__R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CmurisRN6,k,glyc,epist,glc__D,pgp1819Z160,mn2,xyl__D,pe18111Z1835Z9Z12Z,ps180,dca,so4,cu2,pe1801845Z9Z12Z15Z,man,butso3,rib__D,hislysthr,so3,pail18111Z160,hghhlipan,lyslyslys,pgp160,pa161,gthrd,ps160,leu__L,feenter,pg120,enter,pheme,fecost,octa,cys__L,pe1829Z12Z1835Z9Z12Z,pgp161,pa181,chitob,pe1819Z1829Z12Z,pe1801835Z9Z12Z,gln__L,zymst,lysvalphe,pe141,ttdca,h2o,pe1819Z1835Z9Z12Z,g1p,pa120,tungs,mg2,hghhlipa,arg__L,argserser,lido,pe18111Z1829Z12Z,pa160,h,pe18111Z1845Z9Z12Z15Z,metox,fe2,pi,cobalt2,ps120,pgp141,tyr__L,pg180,lipa_cold,ac,galur,pe1819Z1845Z9Z12Z15Z,isetac,clpn141,ni2,egly,colipa,lanost,salchs2fe,pg161,degly,ddca,met__D,pe120,pg18111Z160,pg1819Z160,glcur,pe161,zn2,met__L,cu,ergst,tchola,orn,pgp180,salchs4fe,fe3dhbzs,cit,fe3,pgp120,ps141,cro4,inost,ttdcea,mobd,pe180,fru,pe18111Z1819Z,protein,rmn,pg181,pg160,pg140,26dmani,hxa,ps140,cd2,ps161,valtrpval,asp__L,hdca,alaala,pgp140,na1,pail1819Z160,taur,pe1801819Z,kdo2lipid4,pro__L,ocdca,hdcea,pe181,pa180,pa140,pap,ocdcea,glu__L,ca2,ferrich,pa141,pe1819Z1819Z,asn__L,meglyxyl,cbl2,phethrlys,metox__R,lipa,glyc3p,gal,ferxa,pe140,ps181,pe160,tsul,pgp181,pe1801829Z12Z,pg141,ile__L,thrthrarg,pgp18111Z160,salchs4,arab__L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
