,genes,gene_assoc_w_other_rxns?
14GLUCANabcpp,frozenset({<Gene TGGT1_216790-t26_1-p1 at 0x2abd68c12390>}),no
3HAD100_1,frozenset({<Gene TGGT1_321570-t26_1-p1 at 0x2abd68c065f8>}),no
3HAD120_1,frozenset({<Gene TGGT1_321570-t26_1-p1 at 0x2abd68c065f8>}),no
3HAD80_1,frozenset({<Gene TGGT1_321570-t26_1-p1 at 0x2abd68c065f8>}),no
3OAR100_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x2abd68c06828>}),no
3OAR120_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x2abd68c06828>}),no
3OAR140_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x2abd68c06828>}),no
3OAR160_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x2abd68c06828>}),no
3OAR180_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x2abd68c06828>}),no
3OAR181_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x2abd68c06828>}),no
3OAR40_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x2abd68c06828>}),no
3OAR60_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x2abd68c06828>}),no
3OAR80_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x2abd68c06828>}),no
3OAS100_1,frozenset({<Gene TGGT1_231890-t26_1-p1 at 0x2abd68c06908>}),no
3OAS120_1,frozenset({<Gene TGGT1_231890-t26_1-p1 at 0x2abd68c06908>}),no
3OAS140_1,frozenset({<Gene TGGT1_231890-t26_1-p1 at 0x2abd68c06908>}),no
3OAS160_1,frozenset({<Gene TGGT1_231890-t26_1-p1 at 0x2abd68c06908>}),no
3OAS60_1,frozenset({<Gene TGGT1_231890-t26_1-p1 at 0x2abd68c06908>}),no
3OAS80_1,frozenset({<Gene TGGT1_231890-t26_1-p1 at 0x2abd68c06908>}),no
3PG_pi_thr,frozenset({<Gene TGGT1_232690-t26_1-p1 at 0x2abd68c44da0>}),no
A2GALT1,frozenset({<Gene TGGT1_283810-t26_1-p1 at 0x2abd68c586d8>}),no
A2GALT2,frozenset({<Gene TGGT1_283810-t26_1-p1 at 0x2abd68c586d8>}),no
A2GALT3,frozenset({<Gene TGGT1_283810-t26_1-p1 at 0x2abd68c586d8>}),no
A2GALT4,frozenset({<Gene TGGT1_283810-t26_1-p1 at 0x2abd68c586d8>}),no
A2GALT5,frozenset({<Gene TGGT1_283810-t26_1-p1 at 0x2abd68c586d8>}),no
A2GALT6,frozenset({<Gene TGGT1_283810-t26_1-p1 at 0x2abd68c586d8>}),no
A3GALT1,frozenset({<Gene TGGT1_283810-t26_1-p1 at 0x2abd68c586d8>}),no
A3GALT2,frozenset({<Gene TGGT1_283810-t26_1-p1 at 0x2abd68c586d8>}),no
A3GALT3,frozenset({<Gene TGGT1_283810-t26_1-p1 at 0x2abd68c586d8>}),no
A3GALT4,frozenset({<Gene TGGT1_283810-t26_1-p1 at 0x2abd68c586d8>}),no
A3GALT5,frozenset({<Gene TGGT1_283810-t26_1-p1 at 0x2abd68c586d8>}),no
A4GALT,frozenset({<Gene TGGT1_283810-t26_1-p1 at 0x2abd68c586d8>}),no
AACP1819ZS,frozenset({<Gene TGGT1_310150-t26_1-p1 at 0x2abd68c58048>}),no
AACPS1_1,frozenset({<Gene TGGT1_310150-t26_1-p1 at 0x2abd68c58048>}),no
AACPS3_1,frozenset({<Gene TGGT1_310150-t26_1-p1 at 0x2abd68c58048>}),no
AACPS4_1,frozenset({<Gene TGGT1_310150-t26_1-p1 at 0x2abd68c58048>}),no
AACPS5_1,frozenset({<Gene TGGT1_310150-t26_1-p1 at 0x2abd68c58048>}),no
AACPS6_1,frozenset({<Gene TGGT1_310150-t26_1-p1 at 0x2abd68c58048>}),no
AAMYLpp,frozenset({<Gene TGGT1_246690-t26_1-p1 at 0x2abd68c44748>}),no
AASPh,frozenset({<Gene TGGT1_282230-t26_1-p1 at 0x2abd68c58908>}),no
AATC,frozenset({<Gene TGGT1_248600-t26_1-p1 at 0x2abd68c06c18>}),no
AATG,frozenset({<Gene TGGT1_248600-t26_1-p1 at 0x2abd68c06c18>}),no
ABFPTh,frozenset({<Gene TGGT1_265450-t26_1-p1 at 0x2abd68c58550>}),no
ACACT2,"frozenset({<Gene TGGT1_273740-t26_1-p1 at 0x2abd68c06748>, <Gene TGGT1_301120-t26_1-p1 at 0x2abd68c06978>})",yes
ACACT3,frozenset({<Gene TGGT1_273740-t26_1-p1 at 0x2abd68c06748>}),no
ACACT4p,frozenset({<Gene TGGT1_273740-t26_1-p1 at 0x2abd68c06748>}),no
ACACT5p,frozenset({<Gene TGGT1_273740-t26_1-p1 at 0x2abd68c06748>}),no
ACACT6p,frozenset({<Gene TGGT1_273740-t26_1-p1 at 0x2abd68c06748>}),no
ACACT7p,frozenset({<Gene TGGT1_273740-t26_1-p1 at 0x2abd68c06748>}),no
ACACT8p,frozenset({<Gene TGGT1_273740-t26_1-p1 at 0x2abd68c06748>}),no
ACACT9p,frozenset({<Gene TGGT1_273740-t26_1-p1 at 0x2abd68c06748>}),no
ACCOAC_1,frozenset({<Gene TGGT1_284190-t26_1-p1 at 0x2abd68c44f28>}),no
ACCOAhi,frozenset({<Gene TGGT1_284190-t26_1-p1 at 0x2abd68c44f28>}),no
ACCOAth,frozenset({<Gene TGGT1_215940-t26_1-p1 at 0x2abd68c44ac8>}),no
ACCOAtx,frozenset({<Gene TGGT1_215940-t26_1-p1 at 0x2abd68c44ac8>}),no
ACHMSSELCYSLh,frozenset({<Gene TGGT1_312930-t26_1-p1 at 0x2abd68c44e48>}),no
ACOA100OR,"frozenset({<Gene TGGT1_272180-t26_1-p1 at 0x2abd68c58208>, <Gene TGGT1_315480-t26_1-p1 at 0x2abd68c582b0>, <Gene TGGT1_247500-t26_1-p1 at 0x2abd68c33470>, <Gene TGGT1_231900-t26_1-p1 at 0x2abd68c58278>})",yes
ACOA120OR,"frozenset({<Gene TGGT1_272180-t26_1-p1 at 0x2abd68c58208>, <Gene TGGT1_315480-t26_1-p1 at 0x2abd68c582b0>, <Gene TGGT1_247500-t26_1-p1 at 0x2abd68c33470>, <Gene TGGT1_231900-t26_1-p1 at 0x2abd68c58278>})",yes
ACOA140OR,"frozenset({<Gene TGGT1_272180-t26_1-p1 at 0x2abd68c58208>, <Gene TGGT1_315480-t26_1-p1 at 0x2abd68c582b0>, <Gene TGGT1_247500-t26_1-p1 at 0x2abd68c33470>, <Gene TGGT1_231900-t26_1-p1 at 0x2abd68c58278>})",yes
