reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['Vbra_13700.t1-p1', 'Vbra_6002.t1-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['Vbra_13700.t1-p1', 'Vbra_6002.t1-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['Vbra_13700.t1-p1', 'Vbra_6002.t1-p1']",1000.0,0.0
3HAD160,3hpalmACP_c --> h2o_c + tpalm2eACP_c,['Vbra_19455.t1-p1'],1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['Vbra_20897.t1-p1', 'Vbra_14332.t1-p1', 'Vbra_18536.t1-p1', 'Vbra_11594.t1-p1', 'Vbra_22302.t1-p1', 'Vbra_7231.t1-p1', 'Vbra_19598.t1-p1', 'Vbra_13268.t1-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['Vbra_20897.t1-p1', 'Vbra_14332.t1-p1', 'Vbra_18536.t1-p1', 'Vbra_11594.t1-p1', 'Vbra_22302.t1-p1', 'Vbra_7231.t1-p1', 'Vbra_19598.t1-p1', 'Vbra_13268.t1-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['Vbra_20897.t1-p1', 'Vbra_14332.t1-p1', 'Vbra_18536.t1-p1', 'Vbra_11594.t1-p1', 'Vbra_22302.t1-p1', 'Vbra_7231.t1-p1', 'Vbra_19598.t1-p1', 'Vbra_13268.t1-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,"['Vbra_16900.t1-p1', 'Vbra_18624.t1-p1', 'Vbra_6248.t1-p1', 'Vbra_22540.t1-p1', 'Vbra_4545.t1-p1', 'Vbra_23250.t1-p1']",1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,"['Vbra_16900.t1-p1', 'Vbra_22540.t1-p1']",1000.0,0.0
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,"['Vbra_16654.t1-p1', 'Vbra_17615.t1-p1']",1000.0,0.0
5DOAN,dad_5_c + h2o_c --> 5drib_c + ade_c,['Vbra_12031.t1-p1'],1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['Vbra_13700.t1-p1', 'Vbra_4440.t1-p1', 'Vbra_6002.t1-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['Vbra_13700.t1-p1', 'Vbra_4440.t1-p1', 'Vbra_6002.t1-p1']",1000.0,0.0
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"['Vbra_13700.t1-p1', 'Vbra_4440.t1-p1', 'Vbra_6002.t1-p1']",1000.0,0.0
ABTA,4abut_c + akg_c --> glu__L_c + sucsal_c,"['Vbra_11583.t1-p1', 'Vbra_14357', 'Vbra_12368.t1-p1', 'Vbra_9930.t1-p1']",1000.0,0.0
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,['Vbra_3029.t1-p1'],1000.0,0.0
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,['Vbra_3029.t1-p1'],1000.0,0.0
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,"['Vbra_19773.t1-p1', 'Vbra_8944.t1-p1', 'Vbra_18131.t1-p1', 'Vbra_16942.t1-p1']",1000.0,0.0
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,"['Vbra_19396.t1-p1', 'Vbra_9705.t1-p1', 'Vbra_14543.t1-p1']",1000.0,0.0
