,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
FACOAE1839Z12Z15Z,,,not in model,not in model,not in model,,,,,,,,,
MI134PP,,,not in model,not in model,not in model,,,,,,,,,
EX_maltpt_e,,,not in model,not in model,not in model,,,,,,,,,
EX_2agpe160_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
SGSAD,,,not in model,not in model,not in model,,,,,,,,,
NNMT,,,not in model,not in model,not in model,,,,,,,,,
THRTRS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ACOADAGAT1801819Z1835Z9Z12Z,,,not in model,nonlethal,not in model,,,,,,,,,
pe_prod10,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
SELCYSS_pf,,,not in model,nonlethal,nonlethal,,,,,,,,,
SLCBK1,,,not in model,not in model,not in model,,,,,,,,,
PGSA_SA,,,not in model,not in model,not in model,,,,,,,,,
3HOPCD,,,not in model,not in model,not in model,,,,,,,,,
DHPS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PSSA181,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PLDAGAT18111Z1819Z1602,,,not in model,not in model,not in model,,,,,,,,,
PLBPC_SCe,,,nonlethal,not in model,not in model,,,,,,,,,
3OAR141_ap,,,not in model,nonlethal,nonlethal,,,,,,,,,
CDGS,,,not in model,not in model,not in model,,,,,,,,,
MGDGW3DS1829Z12Z1637Z10Z13Zc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
CLPNS140,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PPPGO2_1,,,not in model,not in model,not in model,,,,,,,,,
DASYNm_SC,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
AGTi,,,not in model,not in model,not in model,,,,,,,,,
NTPP8,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
6TXAN5MPAML,,,not in model,not in model,not in model,,,,,,,,,
ASPTRSm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
LPLIPAL2G140,,,not in model,nonlethal,nonlethal,,,,,,,,,
ACOAR5mc,,,not in model,not in model,not in model,,,,,,,,,
PSSA161,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
STRDNCCPT1,,,not in model,nonlethal,not in model,,,,,,,,,
HISTRS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ERGSTESTH_SC,,,nonlethal,nonlethal,not in model,,,,,,,,,
FACOAL240pc,,,not in model,not in model,not in model,,,,,,,,,
CRVSthc,,,not in model,not in model,not in model,,,,,,,,,
GPIAT,,,not in model,nonlethal,nonlethal,,,,,,,,,
HEPKB2,,,not in model,not in model,not in model,,,,,,,,,
FAS181,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_5fthf_e,,,nonlethal,not in model,not in model,,,,,,,,,
MICITDr,,,not in model,not in model,not in model,,,,,,,,,
NTP1,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
FACOAL40It2ppc,,,not in model,not in model,nonlethal,,,,,,,,,
MALTHPabc,,,not in model,not in model,not in model,,,,,,,,,
PUNP4,,,not in model,nonlethal,nonlethal,,,,,,,,,
CDPDGPm_SCc,,,not in model,not in model,not in model,,,,,,,,,
RBTDG,,,not in model,not in model,not in model,,,,,,,,,
ACOADAGAT18111Z1819Z1845Z9Z12Z15Z,,,not in model,nonlethal,not in model,,,,,,,,,
4MOPDC,,,not in model,not in model,not in model,,,,,,,,,
UDPSQSc,,,not in model,not in model,not in model,,,,,,,,,
OCTNLL,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
HYDFDi,,,not in model,not in model,not in model,,,,,,,,,
DHORD2,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
HBCO_nadp_m,,,not in model,not in model,not in model,,,,,,,,,
PYK3,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_arg__L_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
KAT4,,,not in model,nonlethal,nonlethal,,,,,,,,,
r0817,,,not in model,not in model,not in model,,,,,,,,,
CMPA,,,not in model,not in model,not in model,,,,,,,,,
DGDGW3DS1839Z12Z15Z1627Z10Zc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PMI1346PS,,,not in model,not in model,not in model,,,,,,,,,
ABFPT,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
MGDGW6DS1829Z12Z160c,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
RE3033C,,,not in model,not in model,not in model,,,,,,,,,
2AGPEAT161,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
CERH126,,,not in model,nonlethal,not in model,,,,,,,,,
5FTHFt,,,not in model,not in model,not in model,,,,,,,,,
AMPN,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
XAND,,,not in model,not in model,not in model,,,,,,,,,
AMAOTr,,,not in model,not in model,not in model,,,,,,,,,
MGDGW6DS1829Z12Z1627Z10Z2c,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
acoa_prod10,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
GCC2bim,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_alaala_e,,,not in model,not in model,not in model,,,,,,,,,
ETHAPT_LNA_ARA_c,,,not in model,not in model,not in model,,,,,,,,,
EX_protein_t_e,,,not in model,nonlethal,nonlethal,,,,,,,,,
SBTRhc,,,not in model,not in model,not in model,,,,,,,,,
ACOADAGAT18111Z18111Z1819Z,,,not in model,nonlethal,not in model,,,,,,,,,
RHACOAR60,,,not in model,not in model,not in model,,,,,,,,,
OAAAKGtm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
LUMIRHODOPSINIc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ALOX15,,,not in model,not in model,not in model,,,,,,,,,
GAPDi_nadp,,,not in model,not in model,not in model,,,,,,,,,
AKO,,,nonlethal,nonlethal,not in model,,,,,,,,,
3OAR80,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
DMQMTm,,,not in model,nonlethal,nonlethal,,,,,,,,,
DAGK_OLE_PALM,,,not in model,not in model,not in model,,,,,,,,,
EX_cyssermet_e,,,nonlethal,not in model,not in model,,,,,,,,,
NDH1_1uc,,,not in model,not in model,not in model,,,,,,,,,
13GS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_pg140_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
THMATPe,,,nonlethal,nonlethal,not in model,,,,,,,,,
ACOAD1,,,not in model,not in model,not in model,,,,,,,,,
FRUpts2,,,not in model,not in model,not in model,,,,,,,,,
HACDpc,,,not in model,not in model,not in model,,,,,,,,,
ADEt,,,not in model,nonlethal,nonlethal,,,,,,,,,
SK_met__L_c,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
FASm2201,,,not in model,not in model,not in model,,,,,,,,,
PGSA180,,,not in model,nonlethal,nonlethal,,,,,,,,,
EAR80x,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
DGDGW3DS1839Z12Z15Z1637Z10Z13Z1c,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
SK_trnatrp_c,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
CAMPt,,,not in model,nonlethal,nonlethal,,,,,,,,,
DADNt2,,,not in model,not in model,not in model,,,,,,,,,
AKGDm,,,not in model,nonlethal,nonlethal,,,,,,,,,
EX_ibt_e,,,not in model,not in model,nonlethal,,,,,,,,,
PLDAGAT1801819Z1601,,,not in model,not in model,not in model,,,,,,,,,
GLNt2r,,,not in model,nonlethal,nonlethal,,,,,,,,,
DAGAH1801819Z,,,not in model,not in model,not in model,,,,,,,,,
MELTGH,,,not in model,not in model,not in model,,,,,,,,,
3OAR40_m,,,not in model,not in model,not in model,,,,,,,,,
PNTEH,,,not in model,not in model,not in model,,,,,,,,,
EX_so4_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
AGPATACP_OLE_HDE,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ACCOAC_1c,,,not in model,not in model,not in model,,,,,,,,,
GLUt2r,,,not in model,nonlethal,nonlethal,,,,,,,,,
FMNAT,,,not in model,nonlethal,nonlethal,,,,,,,,,
AGAIAGT,,,not in model,not in model,not in model,,,,,,,,,
MAGAH18111Z,,,not in model,not in model,not in model,,,,,,,,,
DCPE,,,not in model,not in model,not in model,,,,,,,,,
SELCYSTL,,,not in model,not in model,not in model,,,,,,,,,
CRVStu,,,not in model,not in model,not in model,,,,,,,,,
EX_mnl_e,,,not in model,not in model,not in model,,,,,,,,,
TRPO2,,,not in model,not in model,not in model,,,,,,,,,
GLMS_syn,,,nonlethal,not in model,nonlethal,,,,,,,,,
CYSt_m,,,not in model,not in model,not in model,,,,,,,,,
MLTHFtap,,,nonlethal,not in model,not in model,,,,,,,,,
HMGL_1,,,not in model,not in model,not in model,,,,,,,,,
LPLIPAL2G120,,,not in model,nonlethal,nonlethal,,,,,,,,,
DHQS,,,not in model,nonlethal,nonlethal,,,,,,,,,
RDXR,,,not in model,not in model,not in model,,,,,,,,,
r0398,,,nonlethal,not in model,not in model,,,,,,,,,
PDE2,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
FBA2,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
GPAM_hsnhs,,,not in model,not in model,not in model,,,,,,,,,
EX_metox__R_e,,,not in model,not in model,not in model,,,,,,,,,
STARCH300DEGR2Ac,,,not in model,not in model,not in model,,,,,,,,,
MN6PP,,,not in model,nonlethal,nonlethal,,,,,,,,,
ETHAPT_LNA_ALNA_c,,,not in model,not in model,not in model,,,,,,,,,
ETHSabc,,,not in model,not in model,not in model,,,,,,,,,
EX_ps161_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
THZPSN_mt2,,,not in model,nonlethal,nonlethal,,,,,,,,,
EX_aspvalasn_e,,,not in model,not in model,not in model,,,,,,,,,
NH4tm,,,not in model,not in model,not in model,,,,,,,,,
EX_sulfac_e,,,not in model,nonlethal,not in model,,,,,,,,,
ALCD24xi,,,not in model,not in model,not in model,,,,,,,,,
2AGPGAT180,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ACOADAGAT1819Z18111Z180,,,not in model,nonlethal,not in model,,,,,,,,,
CYSTSERex,,,not in model,nonlethal,nonlethal,,,,,,,,,
PLDAGAT1801819Z1819Z3,,,not in model,not in model,not in model,,,,,,,,,
PLDAGAT_MYRS_EPA_DHA_PE_12_c,,,not in model,not in model,not in model,,,,,,,,,
PTRCtmi,,,not in model,not in model,not in model,,,,,,,,,
G12MT2gc,,,not in model,not in model,not in model,,,,,,,,,
PUNP5,,,not in model,nonlethal,nonlethal,,,,,,,,,
GALMAN600c_e,,,not in model,not in model,not in model,,,,,,,,,
SELMETAT,,,not in model,not in model,nonlethal,,,,,,,,,
FECRMabcppc,,,not in model,not in model,not in model,,,,,,,,,
CHOLK,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
MLTG2,,,not in model,not in model,not in model,,,,,,,,,
PCD6DS_STC_GLNA_sn2_c,,,nonlethal,not in model,not in model,,,,,,,,,
SLDy,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
MI1345PP,,,not in model,nonlethal,nonlethal,,,,,,,,,
EX_4abut_e,,,not in model,nonlethal,not in model,,,,,,,,,
EX_galctn__D_e,,,not in model,not in model,not in model,,,,,,,,,
AGAID,,,not in model,not in model,not in model,,,,,,,,,
A1E,,,not in model,not in model,not in model,,,,,,,,,
IPCS124_SC,,,not in model,not in model,not in model,,,,,,,,,
CDAPPA120,,,not in model,not in model,not in model,,,,,,,,,
PLDAGAT_PALM_EPA_DHA_PE_13_c,,,not in model,not in model,not in model,,,,,,,,,
ATPATF3,,,not in model,not in model,not in model,,,,,,,,,
ALDH,,,not in model,not in model,not in model,,,,,,,,,
GALabc,,,nonlethal,not in model,nonlethal,,,,,,,,,
HACD9,,,nonlethal,not in model,not in model,,,,,,,,,
SLCBK2,,,not in model,not in model,not in model,,,,,,,,,
RNDR5,,,not in model,nonlethal,nonlethal,,,,,,,,,
GTHRDH_syn,,,nonlethal,not in model,not in model,,,,,,,,,
ARBTpts,,,not in model,not in model,not in model,,,,,,,,,
EX_serphelys_e,,,not in model,not in model,not in model,,,,,,,,,
EX_ficytc6_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PYK5,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
4HBZFm,,,nonlethal,not in model,not in model,,,,,,,,,
DOLDPP,,,nonlethal,not in model,not in model,,,,,,,,,
DPRm,,,not in model,not in model,not in model,,,,,,,,,
ACKr,,,not in model,not in model,not in model,,,,,,,,,
NTRLASE3,,,not in model,not in model,not in model,,,,,,,,,
PACOAL,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
I4FE4SR,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
4HBZR,,,not in model,not in model,not in model,,,,,,,,,
ASAPTc,,,not in model,not in model,not in model,,,,,,,,,
FACOAL161t2pp_ap,,,not in model,nonlethal,nonlethal,,,,,,,,,
EX_lyspheile_e,,,not in model,not in model,not in model,,,,,,,,,
ps_prod2,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PI45BPP,,,not in model,nonlethal,nonlethal,,,,,,,,,
PPAKr,,,not in model,not in model,not in model,,,,,,,,,
CITCIb,,,not in model,not in model,not in model,,,,,,,,,
GALm,,,not in model,not in model,not in model,,,,,,,,,
