,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
FACOAE1839Z12Z15Z,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
MI134PP,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
EX_maltpt_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
EX_2agpe160_e,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
SGSAD,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
NNMT,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
THRTRS,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
ACOADAGAT1801819Z1835Z9Z12Z,,,not in model,nonlethal,not in model,,,not in model,,not in model,,,,nonlethal
pe_prod10,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
SELCYSS_pf,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
SLCBK1,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
PGSA_SA,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
3HOPCD,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
DHPS,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
PSSA181,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
PLDAGAT18111Z1819Z1602,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
PLBPC_SCe,,,nonlethal,not in model,not in model,,,not in model,,not in model,,,,not in model
3OAR141_ap,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
CDGS,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
MGDGW3DS1829Z12Z1637Z10Z13Zc,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
CLPNS140,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
PPPGO2_1,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
DASYNm_SC,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
AGTi,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
NTPP8,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
6TXAN5MPAML,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
ASPTRSm,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
LPLIPAL2G140,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
ACOAR5mc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
PSSA161,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
STRDNCCPT1,,,not in model,nonlethal,not in model,,,not in model,,not in model,,,,not in model
HISTRS,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
ERGSTESTH_SC,,,nonlethal,nonlethal,not in model,,,not in model,,not in model,,,,nonlethal
FACOAL240pc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
CRVSthc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
GPIAT,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
HEPKB2,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
FAS181,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
EX_5fthf_e,,,nonlethal,not in model,not in model,,,not in model,,not in model,,,,not in model
MICITDr,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
NTP1,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
FACOAL40It2ppc,,,not in model,not in model,nonlethal,,,not in model,,not in model,,,,not in model
MALTHPabc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
PUNP4,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
CDPDGPm_SCc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
RBTDG,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
ACOADAGAT18111Z1819Z1845Z9Z12Z15Z,,,not in model,nonlethal,not in model,,,not in model,,not in model,,,,nonlethal
4MOPDC,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
UDPSQSc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
OCTNLL,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
HYDFDi,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
DHORD2,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
HBCO_nadp_m,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
PYK3,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
EX_arg__L_e,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
KAT4,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
r0817,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
CMPA,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
DGDGW3DS1839Z12Z15Z1627Z10Zc,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
PMI1346PS,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
ABFPT,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
MGDGW6DS1829Z12Z160c,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
RE3033C,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
2AGPEAT161,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
CERH126,,,not in model,nonlethal,not in model,,,not in model,,not in model,,,,nonlethal
5FTHFt,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
AMPN,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
XAND,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
AMAOTr,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
MGDGW6DS1829Z12Z1627Z10Z2c,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
acoa_prod10,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
GCC2bim,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
EX_alaala_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
ETHAPT_LNA_ARA_c,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
EX_protein_t_e,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
SBTRhc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
ACOADAGAT18111Z18111Z1819Z,,,not in model,nonlethal,not in model,,,not in model,,not in model,,,,nonlethal
RHACOAR60,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
OAAAKGtm,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
LUMIRHODOPSINIc,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
ALOX15,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
GAPDi_nadp,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
