,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
FACOAE1839Z12Z15Z,not in model,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,nonlethal
MI134PP,not in model,not in model,not in model,not in model,not in model,,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model
EX_maltpt_e,nonlethal,nonlethal,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model
EX_2agpe160_e,not in model,not in model,nonlethal,nonlethal,nonlethal,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
SGSAD,not in model,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model
NNMT,not in model,not in model,not in model,not in model,not in model,,not in model,not in model,nonlethal,not in model,nonlethal,not in model,not in model,nonlethal
THRTRS,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal
ACOADAGAT1801819Z1835Z9Z12Z,nonlethal,nonlethal,not in model,nonlethal,not in model,,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model,nonlethal
pe_prod10,not in model,not in model,nonlethal,nonlethal,nonlethal,,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model
SELCYSS_pf,not in model,not in model,not in model,nonlethal,nonlethal,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
SLCBK1,not in model,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal
PGSA_SA,nonlethal,nonlethal,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3HOPCD,nonlethal,nonlethal,not in model,not in model,not in model,,not in model,not in model,nonlethal,not in model,not in model,nonlethal,not in model,nonlethal
DHPS,not in model,not in model,nonlethal,nonlethal,nonlethal,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PSSA181,not in model,not in model,nonlethal,nonlethal,nonlethal,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PLDAGAT18111Z1819Z1602,not in model,not in model,not in model,not in model,not in model,,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model,not in model
PLBPC_SCe,not in model,not in model,nonlethal,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3OAR141_ap,not in model,not in model,not in model,nonlethal,nonlethal,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CDGS,not in model,not in model,not in model,not in model,not in model,,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
MGDGW3DS1829Z12Z1637Z10Z13Zc,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal
CLPNS140,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal
PPPGO2_1,not in model,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model
DASYNm_SC,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,nonlethal,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model,not in model
AGTi,not in model,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,nonlethal
NTPP8,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal
6TXAN5MPAML,not in model,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,nonlethal
ASPTRSm,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,nonlethal,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model,not in model
LPLIPAL2G140,not in model,not in model,not in model,nonlethal,nonlethal,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ACOAR5mc,not in model,not in model,not in model,not in model,not in model,,not in model,nonlethal,not in model,not in model,not in model,not in model,nonlethal,nonlethal
PSSA161,not in model,not in model,nonlethal,nonlethal,nonlethal,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
STRDNCCPT1,not in model,not in model,not in model,nonlethal,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
HISTRS,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal
ERGSTESTH_SC,not in model,not in model,nonlethal,nonlethal,not in model,,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,nonlethal
FACOAL240pc,not in model,not in model,not in model,not in model,not in model,,not in model,not in model,nonlethal,not in model,not in model,nonlethal,not in model,nonlethal
CRVSthc,not in model,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model
GPIAT,not in model,not in model,not in model,nonlethal,nonlethal,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
HEPKB2,not in model,not in model,not in model,not in model,not in model,,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,not in model
FAS181,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,nonlethal,not in model,nonlethal,not in model,not in model,nonlethal,not in model,nonlethal
EX_5fthf_e,not in model,not in model,nonlethal,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model
MICITDr,not in model,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,nonlethal,nonlethal,nonlethal,nonlethal
NTP1,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal
FACOAL40It2ppc,not in model,not in model,not in model,not in model,nonlethal,,not in model,nonlethal,not in model,not in model,nonlethal,nonlethal,not in model,not in model
MALTHPabc,not in model,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,nonlethal
PUNP4,nonlethal,nonlethal,not in model,nonlethal,nonlethal,,nonlethal,nonlethal,not in model,not in model,not in model,not in model,nonlethal,nonlethal
