,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
OHPHM,nonlethal,nonlethal,nonlethal,nonlethal,not in model,,,not in model,,,,nonlethal,,
C226CPT2,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,not in model,,
G3PCt,not in model,not in model,nonlethal,not in model,not in model,,,nonlethal,,,,not in model,,
3HAD60_ap,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,,,,not in model,,
MMSAD3,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,,,,nonlethal,,
ACt2r,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,nonlethal,,
G3PAT181_1,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,not in model,,
DGDGS1819Z160c,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,nonlethal,,
ARGORNt7,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,not in model,,
PLDAGAT16018111Z1819Z2,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,nonlethal,,
NO2t2r,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,not in model,,
RTOTALt,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,,,not in model,,
PE1801845Z9Z12Z15Zt,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,nonlethal,,
FAS140,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,,,,nonlethal,,
PTRCabc,nonlethal,nonlethal,nonlethal,not in model,nonlethal,,,nonlethal,,,,nonlethal,,
NH4tm,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,nonlethal,,
PI45BPP,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,,,,not in model,,
ZDSc,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,nonlethal,,
EGMEACPR,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,,,,nonlethal,,
PGMmc,not in model,not in model,nonlethal,not in model,not in model,,,nonlethal,,,,not in model,,
3OACOAR,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,,,,nonlethal,,
VOR3b,not in model,not in model,nonlethal,not in model,not in model,,,not in model,,,,not in model,,
PLDAGAT18111Z1819Z1819Z1,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,nonlethal,,
ASR,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,nonlethal,,
ALCDH_nadp_hic,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,,,nonlethal,,
CITCIb,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,not in model,,
IAGT,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,,,,nonlethal,,
ACONT,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,nonlethal,,
PHEPHEASNr,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,not in model,,
GLU4ABUTtmi,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,nonlethal,,
ALLTAHr,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,,,,nonlethal,,
