,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
ACPPAT161,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,not in model
PPA_1,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,nonlethal
EX_occoa_e,not in model,not in model,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,not in model,,not in model
HAMR,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,not in model,,nonlethal,,nonlethal
PLDPC_LNA_HDE_c,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,not in model,,not in model
SULO,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,nonlethal
FACOAL60t2ppc,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
PEDS1801829Z12Z,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,nonlethal
CHOPT_STC_DHA_c,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,not in model,,not in model
ALALYSTHRt,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,not in model,,not in model
HMSH3,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
PLDPC_MYRS_GLNA_c,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
PLDAGAT_HDE_MYRS_HDE_PE_15_c,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,not in model,,not in model
ARMT,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
ACOADAGAT16018111Z1845Z9Z12Z15Z,nonlethal,nonlethal,not in model,nonlethal,not in model,,,not in model,,not in model,,nonlethal,,nonlethal
CDAPPA141,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,not in model,,not in model
GALMAN600b_e,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
PNTOte,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,not in model,,not in model,,not in model
THZPSN,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
C140SN,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,nonlethal
FEENTERabcppc,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,not in model,,nonlethal
10FTHFGLULLm,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,not in model,,not in model
PFKhc,not in model,not in model,nonlethal,nonlethal,not in model,,,nonlethal,,not in model,,not in model,,not in model
GMPS2,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,nonlethal
HMPK4,not in model,not in model,nonlethal,not in model,nonlethal,,,not in model,,not in model,,nonlethal,,nonlethal
PGSA120,nonlethal,nonlethal,not in model,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,not in model
ASAPTc,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
FMETTRS,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,nonlethal
lipid6,not in model,not in model,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,not in model,,not in model
4HTHRS,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,nonlethal
EX_4abut_e,nonlethal,nonlethal,not in model,nonlethal,not in model,,,nonlethal,,not in model,,nonlethal,,not in model
EX_cyssermet_e,not in model,not in model,nonlethal,not in model,not in model,,,not in model,,not in model,,not in model,,not in model
LPLIPAL1E120,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,,not in model,,not in model,,not in model
ACGS,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,not in model
XYLOS2,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,not in model,,nonlethal,,not in model
ZCAROTDH2,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
PYK,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
EX_lysvalphe_e,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,not in model,,not in model
PGP1819Z160t,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
FE3DCITabcppc,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,nonlethal
A3GALT1c,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
EX_murein3p3p_e,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,nonlethal
PAPA_HDE_ALNA_c,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
KAS8,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
HACD6i,not in model,not in model,not in model,not in model,nonlethal,,,not in model,,not in model,,nonlethal,,nonlethal
ADCS,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,not in model
PYDXNK,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
ADHEr,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,not in model,,nonlethal,,not in model
ALDHc,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,not in model,,not in model,,nonlethal
RBFK,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
KAS17,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
EX_pg160_e,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
PAPSR,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
MI1PS,not in model,not in model,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,nonlethal
PLDAGAT_LNA_EPA_LNA_PC_7_c,not in model,not in model,not in model,nonlethal,not in model,,,not in model,,not in model,,nonlethal,,not in model
OHPHM6nc,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
MCTC,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
PFK_3,not in model,not in model,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,not in model,,not in model
A2GALT6c,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
NMNR,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
CITCIb,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,not in model,,nonlethal
DXHPScmc,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,not in model,,not in model,,nonlethal
EX_starch1200_e,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,not in model,,not in model
UDPDOLPT,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,not in model,,nonlethal,,nonlethal
3OACOAS,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,not in model,,not in model,,not in model
CRO4abcppc,nonlethal,nonlethal,nonlethal,not in model,nonlethal,,,not in model,,not in model,,nonlethal,,nonlethal
PSSA161,not in model,not in model,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,not in model,,not in model
GK2,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,nonlethal
DGDGGH1819Z1637Z10Z13Zc,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
SACCD2,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,,not in model,,not in model,,nonlethal
DOLASNT_pf,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,,not in model,,not in model,,not in model
MANTRabc,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,not in model,,not in model,,not in model
MI145PP,not in model,not in model,not in model,nonlethal,nonlethal,,,nonlethal,,not in model,,not in model,,not in model
NADH5,nonlethal,nonlethal,nonlethal,not in model,not in model,,,nonlethal,,not in model,,nonlethal,,nonlethal
EX_gsn_e,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,,not in model,,not in model,,not in model
CLPNS120,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,nonlethal
METLEUex,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,,not in model,,not in model,,not in model
ALCD20y,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,not in model,,nonlethal,,nonlethal
MATmc,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,not in model,,not in model,,nonlethal
EX_sula_e,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
EX_f6p_e,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,not in model,,not in model,,not in model
CFAS160E,not in model,not in model,nonlethal,not in model,nonlethal,,,not in model,,not in model,,nonlethal,,not in model
EX_met__D_e,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
LYSt5r,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
FACOAL160,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,,not in model,,nonlethal,,nonlethal
DHAPT,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,not in model,,nonlethal,,nonlethal
PAPA_MYRS_GLNA_c,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
ATPS3m,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,not in model
FAS80ACPm_L,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
KARI_23dhmp_1,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
FUMAC,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
FUT94g_cho,not in model,not in model,nonlethal,not in model,not in model,,,not in model,,not in model,,not in model,,not in model
TRPMETVALt,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,not in model,,not in model
EX_xylan4_e,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,nonlethal
LLDH_ferr_m,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,not in model
EX_gua_e,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,,not in model,,nonlethal,,not in model
5FLURAOR,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,nonlethal
ARTCOAL2,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,nonlethal,,not in model
TAGAH1801819Z160,nonlethal,nonlethal,not in model,not in model,not in model,,,nonlethal,,not in model,,nonlethal,,nonlethal
CERS324,nonlethal,nonlethal,not in model,nonlethal,not in model,,,not in model,,not in model,,nonlethal,,nonlethal
SBTpts,not in model,not in model,not in model,not in model,not in model,,,nonlethal,,not in model,,nonlethal,,nonlethal
ORNt2r,not in model,not in model,not in model,not in model,not in model,,,not in model,,not in model,,not in model,,nonlethal
PLIPA2A180,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,,not in model,,not in model,,not in model
