,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
PLA2PC_EPA_ARA_c,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,,not in model
TAGAH16018111Z160,nonlethal,nonlethal,not in model,not in model,not in model,not in model,not in model,nonlethal,nonlethal,not in model,nonlethal,nonlethal,,nonlethal
PLDAGAT1801819Z1602,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,,not in model
ALATA_D2,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,not in model,not in model,nonlethal,,nonlethal
EAR40_m,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,,not in model
FAS240__L_ap,not in model,not in model,not in model,nonlethal,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,,not in model
FA180COAabcpc,nonlethal,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,,nonlethal
CELBpts,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,,not in model
DKDID,not in model,not in model,not in model,not in model,not in model,nonlethal,nonlethal,not in model,not in model,not in model,not in model,not in model,,not in model
FRDm,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,,not in model
FAS141ACPm,not in model,not in model,not in model,not in model,not in model,nonlethal,nonlethal,not in model,nonlethal,not in model,nonlethal,nonlethal,,not in model
ASNt2m,nonlethal,nonlethal,not in model,not in model,not in model,nonlethal,nonlethal,not in model,not in model,not in model,nonlethal,nonlethal,,not in model
PLDAGAT18111Z18111Z18111Z2,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,,not in model
EX_ppc1o_e,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,,not in model
DGDGGH1829Z12Z1637Z10Z13Zc,nonlethal,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,,not in model
LALDO2x,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,,not in model
GLYCLTDy,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,nonlethal,,not in model
