,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
OHPHM,nonlethal,nonlethal,nonlethal,nonlethal,not in model,,,not in model,nonlethal,,nonlethal,nonlethal,nonlethal,nonlethal
C226CPT2,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
G3PCt,not in model,not in model,nonlethal,not in model,not in model,,,nonlethal,not in model,,not in model,not in model,not in model,not in model
3HAD60_ap,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
MMSAD3,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,nonlethal
ACt2r,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,nonlethal,,nonlethal,nonlethal,nonlethal,nonlethal
G3PAT181_1,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,nonlethal
DGDGS1819Z160c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
ARGORNt7,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,nonlethal,nonlethal
PLDAGAT16018111Z1819Z2,not in model,not in model,not in model,not in model,not in model,,,not in model,nonlethal,,nonlethal,nonlethal,not in model,not in model
NO2t2r,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,not in model,,not in model,not in model,nonlethal,not in model
RTOTALt,not in model,not in model,not in model,not in model,not in model,,,nonlethal,not in model,,not in model,not in model,not in model,not in model
PE1801845Z9Z12Z15Zt,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,nonlethal,,nonlethal,nonlethal,nonlethal,nonlethal
FAS140,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,nonlethal,,nonlethal,nonlethal,nonlethal,nonlethal
PTRCabc,nonlethal,nonlethal,nonlethal,not in model,nonlethal,,,nonlethal,nonlethal,,nonlethal,nonlethal,not in model,nonlethal
NH4tm,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
PI45BPP,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
ZDSc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
EGMEACPR,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
PGMmc,not in model,not in model,nonlethal,not in model,not in model,,,nonlethal,not in model,,not in model,not in model,not in model,nonlethal
3OACOAR,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
VOR3b,not in model,not in model,nonlethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
PLDAGAT18111Z1819Z1819Z1,not in model,not in model,not in model,not in model,not in model,,,not in model,nonlethal,,nonlethal,nonlethal,not in model,not in model
ASR,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
ALCDH_nadp_hic,not in model,not in model,not in model,not in model,not in model,,,nonlethal,nonlethal,,nonlethal,nonlethal,not in model,nonlethal
CITCIb,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,nonlethal
IAGT,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,nonlethal
ACONT,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,nonlethal,,nonlethal,nonlethal,nonlethal,nonlethal
PHEPHEASNr,not in model,not in model,not in model,not in model,not in model,,,not in model,nonlethal,,not in model,not in model,not in model,nonlethal
GLU4ABUTtmi,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
ALLTAHr,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
GM1LIPAabcppc,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,nonlethal,,nonlethal,nonlethal,nonlethal,nonlethal
GHBDHx,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
OMBZLMm,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
AGPAT161_ap,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PCD6DS_STC_GLNA_sn2_c,not in model,not in model,nonlethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
NTD12,not in model,not in model,not in model,not in model,nonlethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
LMN2,not in model,not in model,not in model,not in model,not in model,,,nonlethal,not in model,,not in model,nonlethal,not in model,not in model
EX_2agpg140_e,not in model,not in model,nonlethal,nonlethal,nonlethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
DDGLK,not in model,not in model,not in model,not in model,not in model,,,nonlethal,not in model,,not in model,not in model,not in model,nonlethal
EX_for_e,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,not in model,,not in model,nonlethal,nonlethal,nonlethal
ACOADAGAT_DHA_EPA_DHA_c,not in model,not in model,not in model,not in model,not in model,,,not in model,nonlethal,,not in model,not in model,not in model,not in model
LPLIPAL2G120,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
STARCH300Sc,nonlethal,nonlethal,not in model,not in model,not in model,,,nonlethal,not in model,,not in model,nonlethal,not in model,not in model
MCOATAm,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,nonlethal,,nonlethal,nonlethal,not in model,not in model
FA181COAabcpc,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,nonlethal,,nonlethal,nonlethal,not in model,nonlethal
r2507,not in model,not in model,not in model,nonlethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
LPLIPAL1E120,not in model,not in model,not in model,nonlethal,nonlethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
APRAUR,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,nonlethal
IPPS,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
S2FE2SS,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,not in model,,not in model,nonlethal,nonlethal,nonlethal
EX_hislysthr_e,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,nonlethal,not in model
ALANA1tm,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
ARTFR213nhs,not in model,not in model,not in model,not in model,not in model,,,not in model,nonlethal,,not in model,not in model,not in model,not in model
3HAACOAT80,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
MCOATA,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,nonlethal,,nonlethal,nonlethal,not in model,nonlethal
EX_pe1801845Z9Z12Z15Z_e,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,nonlethal,nonlethal,,nonlethal,nonlethal,nonlethal,nonlethal
DH4MCHCDH,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,nonlethal
AKO,not in model,not in model,nonlethal,nonlethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
CYOO6m,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,nonlethal,,nonlethal,nonlethal,not in model,not in model
KARA2,not in model,not in model,nonlethal,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
MOTH1,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
ARGt2r,not in model,not in model,not in model,nonlethal,nonlethal,,,nonlethal,not in model,,nonlethal,nonlethal,not in model,not in model
