,T. gondii ARI,T. gondii FOU,T. gondii GAB2-2007-GAL-DOM2,T. gondii GT1,T. gondii MAS,T. gondii ME49,T. gondii p89,T. gondii RUB,T. gondii TgCatPRC2,T. gondii VAND,T. gondii VEG
SHSL1,,,,,nonlethal,,,,,,
FAO1,,,,,nonlethal,,,,,,
EX_cu_e,,,,,nonlethal,,,,,,
EX_pa140_e,,,,,nonlethal,,,,,,
FASm180,,,,,nonlethal,,,,,,
MMSAD3,,,,,nonlethal,,,,,,
EX_glyc_e,,,,,nonlethal,,,,,,
A3GALT4c,,,,,nonlethal,,,,,,
3OAS80_1c,,,,,nonlethal,,,,,,
ACOAD4_1,,,,,nonlethal,,,,,,
FACOALPREPH,,,,,nonlethal,,,,,,
1AGPEAT18111Z1835Z9Z12Z,,,,,nonlethal,,,,,,
1AGPEAT1801819Z,,,,,nonlethal,,,,,,
SUCD2_u6m,,,,,nonlethal,,,,,,
FA141COAabcpc,,,,,nonlethal,,,,,,
FMETDF,,,,,nonlethal,,,,,,
ADSS,,,,,nonlethal,,,,,,
LYSTRSm,,,,,nonlethal,,,,,,
EX_glu__L_e,,,,,nonlethal,,,,,,
GCCc,,,,,nonlethal,,,,,,
VALTAim,,,,,nonlethal,,,,,,
SOTA,,,,,nonlethal,,,,,,
GDRm,,,,,not in model,,,,,,
PS181abcppc,,,,,nonlethal,,,,,,
ACOAR4mc,,,,,nonlethal,,,,,,
ACOADAGAT18111Z18111Z1845Z9Z12Z15Z,,,,,nonlethal,,,,,,
GTPH1,,,,,nonlethal,,,,,,
TKT2hc,,,,,nonlethal,,,,,,
AACPS6_1c,,,,,nonlethal,,,,,,
NO2R,,,,,not in model,,,,,,
GHBDHx,,,,,nonlethal,,,,,,
FE2tm,,,,,nonlethal,,,,,,
PE1819Z1819Zt,,,,,nonlethal,,,,,,
2AGPGAT120,,,,,nonlethal,,,,,,
NDPK6,,,,,nonlethal,,,,,,
ECOAH12m,,,,,nonlethal,,,,,,
ECOAH11pc,,,,,nonlethal,,,,,,
NDPK4,,,,,nonlethal,,,,,,
GLYOX_1,,,,,nonlethal,,,,,,
GLNSP1,,,,,nonlethal,,,,,,
PC,,,,,nonlethal,,,,,,
MECDPS,,,,,nonlethal,,,,,,
1AGPEAT1801829Z12Z,,,,,nonlethal,,,,,,
FASm2202,,,,,nonlethal,,,,,,
S4FE4SR,,,,,nonlethal,,,,,,
AKGDbm,,,,,nonlethal,,,,,,
PGLc,,,,,not in model,,,,,,
HACD4m,,,,,nonlethal,,,,,,
ALPHNH,,,,,nonlethal,,,,,,
HCO3abc,,,,,not in model,,,,,,
AMALT1,,,,,nonlethal,,,,,,
GLYOX,,,,,nonlethal,,,,,,
SUCLm,,,,,nonlethal,,,,,,
ECOAH4,,,,,nonlethal,,,,,,
EX_murein5px3p_e,,,,,nonlethal,,,,,,
OMCDC,,,,,nonlethal,,,,,,
ACP1619ZD9DSc,,,,,nonlethal,,,,,,
SELCYSTLh,,,,,not in model,,,,,,
MBCOAi,,,,,nonlethal,,,,,,
NIabc,,,,,nonlethal,,,,,,
FBA2,,,,,nonlethal,,,,,,
ZHYc,,,,,nonlethal,,,,,,
EHGLATm,,,,,nonlethal,,,,,,
TAGAH1819Z18111Z1845Z9Z12Z15Z,,,,,nonlethal,,,,,,
EAR140y,,,,,nonlethal,,,,,,
BTS,,,,,nonlethal,,,,,,
LEUTA,,,,,nonlethal,,,,,,
DGDGW6DS1829Z12Z1627Z10Z2c,,,,,nonlethal,,,,,,
PYK3,,,,,nonlethal,,,,,,
GLNS,,,,,nonlethal,,,,,,
ACP1819ZD9DS_h,,,,,not in model,,,,,,
EX_ser__L_e,,,,,nonlethal,,,,,,
HVCD,,,,,nonlethal,,,,,,
PYDXO_1,,,,,nonlethal,,,,,,
METAT,,,,,nonlethal,,,,,,
DGDGGH1819Z1617Zc,,,,,nonlethal,,,,,,
DRPA,,,,,nonlethal,,,,,,
PE18111Z1845Z9Z12Z15Zt,,,,,nonlethal,,,,,,
FCLT,,,,,nonlethal,,,,,,
GLBRAN2,,,,,nonlethal,,,,,,
ABUTDm,,,,,nonlethal,,,,,,
THFOR2,,,,,nonlethal,,,,,,
EX_salchs4fe_e,,,,,not in model,,,,,,
GLPT,,,,,nonlethal,,,,,,
LEUt2r,,,,,nonlethal,,,,,,
DHDPS,,,,,nonlethal,,,,,,
THRTRSm,,,,,nonlethal,,,,,,
DGDGGH1839Z12Z15Z160c,,,,,nonlethal,,,,,,
ARBabc,,,,,nonlethal,,,,,,
GLYTA_1,,,,,nonlethal,,,,,,
ASNTRS,,,,,nonlethal,,,,,,
GLNTRS,,,,,nonlethal,,,,,,
FAS260,,,,,nonlethal,,,,,,
CERS324,,,,,nonlethal,,,,,,
TMDPP,,,,,nonlethal,,,,,,
TAGAH18111Z18111Z1845Z9Z12Z15Z,,,,,nonlethal,,,,,,
EAR160y,,,,,nonlethal,,,,,,
LCYSTAT,,,,,nonlethal,,,,,,
ETHAPT_MYRS_MYRS_c,,,,,nonlethal,,,,,,
FASm320,,,,,nonlethal,,,,,,
G3PAT141,,,,,nonlethal,,,,,,
FA181COAabcpc,,,,,nonlethal,,,,,,
CYTP450R,,,,,nonlethal,,,,,,
CPMPS,,,,,nonlethal,,,,,,
ORNTArm,,,,,nonlethal,,,,,,
PGSA140,,,,,nonlethal,,,,,,
FACOAL181t2ppc,,,,,nonlethal,,,,,,
FA180COAabcpc,,,,,nonlethal,,,,,,
FASm1801,,,,,nonlethal,,,,,,
EX_pgp18111Z160_e,,,,,nonlethal,,,,,,
MGDGW3DS1839Z12Z15Z1637Z10Z13Z1c,,,,,nonlethal,,,,,,
FBA3hic,,,,,nonlethal,,,,,,
PAPSR,,,,,nonlethal,,,,,,
MCTC,,,,,nonlethal,,,,,,
MCOATA,,,,,nonlethal,,,,,,
CD2abc2,,,,,nonlethal,,,,,,
FASC220ACP,,,,,nonlethal,,,,,,
FA161COAabcpc,,,,,nonlethal,,,,,,
FRNDPR2r,,,,,nonlethal,,,,,,
HEMELm,,,,,nonlethal,,,,,,
SCYSDS,,,,,nonlethal,,,,,,
NADPHQR2,,,,,nonlethal,,,,,,
GGLGH,,,,,nonlethal,,,,,,
FTHFDH,,,,,nonlethal,,,,,,
EX_drib_e,,,,,nonlethal,,,,,,
URFGTT,,,,,nonlethal,,,,,,
VALTA,,,,,nonlethal,,,,,,
2AGPEAT120,,,,,nonlethal,,,,,,
EAR40_m,,,,,nonlethal,,,,,,
A3GALT5c,,,,,nonlethal,,,,,,
ACOADH2,,,,,nonlethal,,,,,,
TAGAH1801819Z1819Z,,,,,nonlethal,,,,,,
PPNCL,,,,,not in model,,,,,,
DGDGGH1819Z1637Z10Z13Zc,,,,,nonlethal,,,,,,
FACOAL140_ISO,,,,,nonlethal,,,,,,
ADPRDP,,,,,nonlethal,,,,,,
FASC141ACP,,,,,nonlethal,,,,,,
EAR40x,,,,,nonlethal,,,,,,
protein_bm,,,,,nonlethal,,,,,,
ACTNabc1,,,,,not in model,,,,,,
G3PT,,,,,nonlethal,,,,,,
BADP,,,,,nonlethal,,,,,,
KAS11,,,,,nonlethal,,,,,,
DAGK1819Z1819Z,,,,,nonlethal,,,,,,
RNDR2b,,,,,nonlethal,,,,,,
2AGPEAT161,,,,,nonlethal,,,,,,
PE_CHOtm,,,,,nonlethal,,,,,,
PROtm_1,,,,,not in model,,,,,,
G13MT,,,,,nonlethal,,,,,,
PGPP_hsnhs,,,,,nonlethal,,,,,,
STARCH300DEGR2Bc,,,,,nonlethal,,,,,,
DAGK1601819Z,,,,,nonlethal,,,,,,
DH4MCHCDH,,,,,nonlethal,,,,,,
ACOADAGAT18111Z1819Z18111Z,,,,,nonlethal,,,,,,
CYSDSF,,,,,not in model,,,,,,
Cut1,,,,,nonlethal,,,,,,
OMBZLM,,,,,nonlethal,,,,,,
BZDIOLDH,,,,,nonlethal,,,,,,
HYDA,,,,,nonlethal,,,,,,
SHKK,,,,,nonlethal,,,,,,
ACOADAGAT1819Z18111Z1835Z9Z12Z,,,,,nonlethal,,,,,,
PHETRSm,,,,,nonlethal,,,,,,
PYAM5PO,,,,,nonlethal,,,,,,
HACD7,,,,,nonlethal,,,,,,
PE140abcppc,,,,,nonlethal,,,,,,
SO4CLtex,,,,,nonlethal,,,,,,
ASAPTc,,,,,nonlethal,,,,,,
FAS160COA,,,,,nonlethal,,,,,,
EX_man_e,,,,,nonlethal,,,,,,
MCBTS3,,,,,not in model,,,,,,
NDPK9,,,,,nonlethal,,,,,,
3SALAASPm,,,,,nonlethal,,,,,,
G3PEabcppc,,,,,nonlethal,,,,,,
PS120abcppc,,,,,nonlethal,,,,,,
EX_epist_e,,,,,nonlethal,,,,,,
EX_met__D_e,,,,,nonlethal,,,,,,
BZ12DOX,,,,,nonlethal,,,,,,
FDH7,,,,,nonlethal,,,,,,
PNTOte,,,,,nonlethal,,,,,,
GM1LIPAabcppc,,,,,nonlethal,,,,,,
NDPK6m,,,,,nonlethal,,,,,,
HMR_9805,,,,,nonlethal,,,,,,
UMPK,,,,,nonlethal,,,,,,
TSULtm,,,,,nonlethal,,,,,,
METDabc,,,,,nonlethal,,,,,,
ACPPAT140,,,,,nonlethal,,,,,,
DM_val__L_c,,,,,nonlethal,,,,,,
ACOAD2f,,,,,nonlethal,,,,,,
PETHCT,,,,,nonlethal,,,,,,
1AGPEAT1819Z1845Z9Z12Z15Z,,,,,nonlethal,,,,,,
ACOADAGAT1601819Z160,,,,,nonlethal,,,,,,
PYDXPP,,,,,nonlethal,,,,,,
EX_trp__L_e,,,,,nonlethal,,,,,,
MALTTRabc,,,,,nonlethal,,,,,,
ACITL,,,,,nonlethal,,,,,,
CHRPL,,,,,not in model,,,,,,
r2073_1,,,,,nonlethal,,,,,,
FE3DCITexs,,,,,nonlethal,,,,,,
EX_crm_e,,,,,nonlethal,,,,,,
PE120abcppc,,,,,nonlethal,,,,,,
2HMHMBQMTm,,,,,nonlethal,,,,,,
MLTG3,,,,,nonlethal,,,,,,
KAS19SA,,,,,nonlethal,,,,,,
CTPS1,,,,,nonlethal,,,,,,
FAO182p_evenoddc,,,,,nonlethal,,,,,,
NCAMUP,,,,,not in model,,,,,,
LIPOCT,,,,,nonlethal,,,,,,
ECOAH2c,,,,,nonlethal,,,,,,
METabc,,,,,nonlethal,,,,,,
2HPMMBQMOm,,,,,nonlethal,,,,,,
AAMYL,,,,,nonlethal,,,,,,
ALDD5,,,,,nonlethal,,,,,,
ADNK1m,,,,,nonlethal,,,,,,
ACOAD7,,,,,nonlethal,,,,,,
SO4tl,,,,,not in model,,,,,,
HACD4,,,,,nonlethal,,,,,,
RNDR4b,,,,,nonlethal,,,,,,
ETHAPT1801819Z,,,,,nonlethal,,,,,,
F6PP,,,,,nonlethal,,,,,,
CYSTS,,,,,nonlethal,,,,,,
RBFK,,,,,nonlethal,,,,,,
LIDOAMH,,,,,nonlethal,,,,,,
METTRS,,,,,nonlethal,,,,,,
CYSDS,,,,,nonlethal,,,,,,
ORNCT,,,,,not in model,,,,,,
GLYCL,,,,,nonlethal,,,,,,
CYSTGL,,,,,nonlethal,,,,,,
NADFADOR,,,,,nonlethal,,,,,,
NTRIR4ppc,,,,,not in model,,,,,,
PEPCK_re,,,,,nonlethal,,,,,,
DNDPt49m,,,,,not in model,,,,,,
DAGAH1601819Z,,,,,nonlethal,,,,,,
MEGLYXYLAMH,,,,,nonlethal,,,,,,
MYCON2,,,,,nonlethal,,,,,,
FACOAL140t2ppc,,,,,nonlethal,,,,,,
HKt,,,,,nonlethal,,,,,,
3HBCOAHL,,,,,nonlethal,,,,,,
DGDGGH1829Z12Z160c,,,,,nonlethal,,,,,,
CACOAL,,,,,nonlethal,,,,,,
SPS,,,,,nonlethal,,,,,,
ACOAD8f,,,,,nonlethal,,,,,,
CHLSTD78I,,,,,nonlethal,,,,,,
GLYTLm,,,,,nonlethal,,,,,,
TKT2,,,,,nonlethal,,,,,,
MGDGW3DS1829Z12Z1644Z7Z10Z13Zc,,,,,nonlethal,,,,,,
ZYMSTAT_SC,,,,,not in model,,,,,,
DAGAH16018111Z,,,,,nonlethal,,,,,,
NITR,,,,,nonlethal,,,,,,
AKGDH,,,,,nonlethal,,,,,,
HBCHLR,,,,,nonlethal,,,,,,
EX_his__L_e,,,,,nonlethal,,,,,,
CERH124,,,,,nonlethal,,,,,,
DGDGD4DS1839Z12Z15Z1634Z7Z10Zc,,,,,nonlethal,,,,,,
CHOLK,,,,,nonlethal,,,,,,
LANOSTAT_SC,,,,,not in model,,,,,,
AATGm,,,,,nonlethal,,,,,,
PACCOAL,,,,,not in model,,,,,,
HSDHc,,,,,not in model,,,,,,
EX_lys__L_e,,,,,nonlethal,,,,,,
EX_enlipa_e,,,,,nonlethal,,,,,,
GLUDC,,,,,nonlethal,,,,,,
ACOAD8m,,,,,nonlethal,,,,,,
DGDGW6DS1829Z12Z1627Z10Z1c,,,,,nonlethal,,,,,,
FACOAL18111Z,,,,,nonlethal,,,,,,
EX_pg18111Z160_e,,,,,nonlethal,,,,,,
FECRMabcppc,,,,,not in model,,,,,,
EX_ddca_e,,,,,nonlethal,,,,,,
ECOAH1m,,,,,nonlethal,,,,,,
MOD,,,,,nonlethal,,,,,,
TTDCAFATPc,,,,,nonlethal,,,,,,
EX_hg2_e,,,,,nonlethal,,,,,,
KAS8,,,,,nonlethal,,,,,,
EPISTt,,,,,nonlethal,,,,,,
EAR161x,,,,,nonlethal,,,,,,
FAO141p_evenc,,,,,nonlethal,,,,,,
ACP1619ZD9DS,,,,,not in model,,,,,,
YUMPS,,,,,nonlethal,,,,,,
ACS_h,,,,,not in model,,,,,,
HEX4,,,,,nonlethal,,,,,,
HMR_3864,,,,,nonlethal,,,,,,
PPA_1,,,,,nonlethal,,,,,,
CPS_m,,,,,not in model,,,,,,
MDHi2,,,,,nonlethal,,,,,,
2AGPEAT160,,,,,nonlethal,,,,,,
MECDPDH2,,,,,nonlethal,,,,,,
BCAROKTc,,,,,nonlethal,,,,,,
CITt2r,,,,,nonlethal,,,,,,
r0817,,,,,nonlethal,,,,,,
NODOx,,,,,not in model,,,,,,
MGHAc,,,,,nonlethal,,,,,,
MOD_3mhtpp,,,,,nonlethal,,,,,,
ACOADAGAT16018111Z1845Z9Z12Z15Z,,,,,nonlethal,,,,,,
ACACT5r_1,,,,,nonlethal,,,,,,
ACOADH140_m,,,,,nonlethal,,,,,,
DDPGA,,,,,nonlethal,,,,,,
FASm2002,,,,,nonlethal,,,,,,
QULNS_m,,,,,nonlethal,,,,,,
TAURt,,,,,not in model,,,,,,
ALDD4x,,,,,nonlethal,,,,,,
THFGLUS,,,,,nonlethal,,,,,,
G6PDH2r,,,,,nonlethal,,,,,,
MNt2,,,,,nonlethal,,,,,,
CYSAMO_cho,,,,,not in model,,,,,,
LPLPS1AGPE180,,,,,nonlethal,,,,,,
3OAS120_1c,,,,,nonlethal,,,,,,
EX_pi_e,,,,,nonlethal,,,,,,
GLNt2r,,,,,nonlethal,,,,,,
SUCOASm,,,,,nonlethal,,,,,,
D_LACDcm,,,,,nonlethal,,,,,,
ORNTAC,,,,,nonlethal,,,,,,
ACOADAGAT1801819Z1835Z9Z12Z,,,,,nonlethal,,,,,,
PA180abcppc,,,,,nonlethal,,,,,,
5MTHFtm,,,,,nonlethal,,,,,,
FMNRx2,,,,,nonlethal,,,,,,
3OAR161,,,,,nonlethal,,,,,,
CHLabc,,,,,nonlethal,,,,,,
EX_ocdcea_e,,,,,nonlethal,,,,,,
CS,,,,,nonlethal,,,,,,
MNabc,,,,,nonlethal,,,,,,
HISD_c,,,,,not in model,,,,,,
G3PAT181,,,,,nonlethal,,,,,,
PHYCBOXL,,,,,nonlethal,,,,,,
EX_lyslyslys_e,,,,,not in model,,,,,,
CDIPT1819Z160,,,,,nonlethal,,,,,,
EX_ps120_e,,,,,nonlethal,,,,,,
NTRLASE3,,,,,nonlethal,,,,,,
ACOADAGAT18111Z1819Z160,,,,,nonlethal,,,,,,
MYCTR2,,,,,not in model,,,,,,
ACOAD20,,,,,nonlethal,,,,,,
CTECOAI8,,,,,nonlethal,,,,,,
FASC140ACP,,,,,nonlethal,,,,,,
ACGAMPM,,,,,nonlethal,,,,,,
SELNPS,,,,,nonlethal,,,,,,
SBP,,,,,nonlethal,,,,,,
FACOAL1831,,,,,nonlethal,,,,,,
PGP181abcppc,,,,,nonlethal,,,,,,
DHPM2,,,,,nonlethal,,,,,,
3M2OBLOXRD,,,,,nonlethal,,,,,,
NICRNS,,,,,nonlethal,,,,,,
A2GALT2c,,,,,nonlethal,,,,,,
PHETA1,,,,,nonlethal,,,,,,
MCSNAH,,,,,nonlethal,,,,,,
AACPDAGAT_HDE_HDE_PALM_h,,,,,not in model,,,,,,
LEUTRSm,,,,,nonlethal,,,,,,
CYSTRS,,,,,nonlethal,,,,,,
DMPPS,,,,,nonlethal,,,,,,
EX_taur_e,,,,,nonlethal,,,,,,
TAGAH1601819Z18111Z,,,,,nonlethal,,,,,,
GLXO1,,,,,nonlethal,,,,,,
GLYC2Pabcppc,,,,,nonlethal,,,,,,
ARGARGr,,,,,not in model,,,,,,
GLUDy,,,,,nonlethal,,,,,,
CLt_m,,,,,nonlethal,,,,,,
ACOADAGAT1801819Z1845Z9Z12Z15Z,,,,,nonlethal,,,,,,
BPNT,,,,,nonlethal,,,,,,
RNDR1b,,,,,nonlethal,,,,,,
A2GALT5c,,,,,nonlethal,,,,,,
VCACT,,,,,nonlethal,,,,,,
SUCOAS,,,,,nonlethal,,,,,,
PDE3,,,,,nonlethal,,,,,,
DAGK1819Z18111Z,,,,,nonlethal,,,,,,
KAS7,,,,,nonlethal,,,,,,
C181SN,,,,,nonlethal,,,,,,
DHNAPHT,,,,,not in model,,,,,,
PLPSA21829Z12Z1835Z9Z12Z,,,,,nonlethal,,,,,,
MYCTR,,,,,not in model,,,,,,
EX_ps161_e,,,,,nonlethal,,,,,,
MALS,,,,,nonlethal,,,,,,
CDPPT160,,,,,nonlethal,,,,,,
EX_ps160_e,,,,,nonlethal,,,,,,
ACACT10m,,,,,nonlethal,,,,,,
AACPS1,,,,,nonlethal,,,,,,
4HTHRS,,,,,nonlethal,,,,,,
MCOATAm,,,,,nonlethal,,,,,,
EX_salchs4_e,,,,,nonlethal,,,,,,
SUCD1,,,,,nonlethal,,,,,,
ENLIPAabctexc,,,,,nonlethal,,,,,,
CHLDA2tuc,,,,,nonlethal,,,,,,
SERTRS2,,,,,nonlethal,,,,,,
PS160abcppc,,,,,nonlethal,,,,,,
ALDD3,,,,,nonlethal,,,,,,
3DH5HPBMTm,,,,,nonlethal,,,,,,
EX_nad_e,,,,,not in model,,,,,,
EX_ala__L_e,,,,,nonlethal,,,,,,
ASPOcm_1,,,,,not in model,,,,,,
DAGK16018111Z,,,,,nonlethal,,,,,,
ASPTA6,,,,,not in model,,,,,,
FTHFLi,,,,,nonlethal,,,,,,
MECDPDH,,,,,nonlethal,,,,,,
PROTRS,,,,,nonlethal,,,,,,
OAAt2m,,,,,nonlethal,,,,,,
BDMT,,,,,nonlethal,,,,,,
SLDxi2,,,,,nonlethal,,,,,,
ACOADAGAT18111Z18111Z160,,,,,nonlethal,,,,,,
MCOATA_1,,,,,not in model,,,,,,
UDPDOLPT,,,,,nonlethal,,,,,,
G5SADrm,,,,,not in model,,,,,,
ECA4COLIPAabctexc,,,,,nonlethal,,,,,,
EAR181x,,,,,nonlethal,,,,,,
GOFUCR,,,,,nonlethal,,,,,,
PA120abcppc,,,,,nonlethal,,,,,,
LYSabc,,,,,nonlethal,,,,,,
CITt4_1,,,,,not in model,,,,,,
2HPMBQMTm,,,,,nonlethal,,,,,,
FAO141p_oddc,,,,,nonlethal,,,,,,
GMPS2,,,,,nonlethal,,,,,,
DAGK18111Z160hc,,,,,nonlethal,,,,,,
PPM2,,,,,nonlethal,,,,,,
MOTH3,,,,,nonlethal,,,,,,
TAGAH1801819Z160,,,,,nonlethal,,,,,,
OCTNLL,,,,,nonlethal,,,,,,
GTHRDt,,,,,nonlethal,,,,,,
NDP7,,,,,nonlethal,,,,,,
ICYSDS,,,,,nonlethal,,,,,,
EX_h2o_e,,,,,nonlethal,,,,,,
S2FE2ST,,,,,nonlethal,,,,,,
UTPH1,,,,,nonlethal,,,,,,
LNS14DMx,,,,,nonlethal,,,,,,
EX_fadh2_c,,,,,nonlethal,,,,,,
EX_mg2_e,,,,,nonlethal,,,,,,
ADSK,,,,,nonlethal,,,,,,
EX_pe161_e,,,,,nonlethal,,,,,,
HSDy,,,,,nonlethal,,,,,,
AACPS7,,,,,nonlethal,,,,,,
ACOADAGAT16018111Z160,,,,,nonlethal,,,,,,
EX_murein5p3p_e,,,,,nonlethal,,,,,,
ACOADAGAT1801819Z1819Z,,,,,nonlethal,,,,,,
G3POc,,,,,nonlethal,,,,,,
MYCSacp50,,,,,nonlethal,,,,,,
PGSA160,,,,,nonlethal,,,,,,
EX_cys__L_e,,,,,nonlethal,,,,,,
ACHMSSELCYSLh,,,,,not in model,,,,,,
G2PP,,,,,nonlethal,,,,,,
DHRT_ibcoa,,,,,nonlethal,,,,,,
FACOAL180_2,,,,,nonlethal,,,,,,
MOD_3mop,,,,,nonlethal,,,,,,
dgl_prod7,,,,,nonlethal,,,,,,
ILETRSm,,,,,nonlethal,,,,,,
PE1819Z1845Z9Z12Z15Zt,,,,,nonlethal,,,,,,
