,gf_PadleriG01,P. berghei,P. billcollinsi,P. blacklocki,P. chabaudi,P. coatneyi,P. cynomolgi B,P. cynomolgi M,P. falciparum 3D7,P. falciparum Dd2,P. fragile,P. gaboni G01,P. gaboni SY75,P. vivax Sal1
CLIPAabctexc,not in model,not in model,not in model,nonlethal,not in model,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,not in model,not in model,nonlethal
MAN1PT2,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
PIN3K_SC,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
ILELAT1tc,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
ACACT3r,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
EX_ergst_e,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
lipid4,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
HMR_2861,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_2agpe160_e,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
PYK,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
FRDO3r,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
SERASr,not in model,nonlethal,not in model,not in model,nonlethal,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model
FAH120c,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model
FE2tm,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GTHS,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
DHRT_2mbcoa,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal
EX_tchola_e,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
PLA2PC_OLE_HDE_c,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
r2136,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
MI145PK,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
SMPD3l,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
EX_thmmp_e,not in model,not in model,nonlethal,not in model,nonlethal,not in model,not in model,nonlethal,not in model,not in model,nonlethal,nonlethal,not in model,nonlethal
MI1PS,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
MTRI,nonlethal,not in model,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
S2FE2ST,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
PSP_L,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
MI1456PK,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
GLUN,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
GLUSy,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
T2DECAI_ap,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
HEX4,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
PYK5,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
ASNTRAT,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
dgl_prod2,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
G5SD,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
DEDOLP2,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
K2L4Aabctexc,not in model,not in model,not in model,nonlethal,not in model,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,not in model,not in model,nonlethal
TRPILETRPt,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
2agpe181t,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
ACt2r,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
LYSTRS,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
MANt2,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,not in model,nonlethal,nonlethal,nonlethal,not in model
LEUTAi,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
ARGARGr,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
AACPS6_1c,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,not in model
GLCR1TRA1,not in model,not in model,not in model,not in model,not in model,nonlethal,nonlethal,nonlethal,not in model,not in model,nonlethal,not in model,not in model,nonlethal
PLIPA2G180,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
DHACOAH,not in model,nonlethal,not in model,not in model,nonlethal,nonlethal,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,nonlethal
ATGDm,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
AMID3,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model
CYSTBLc,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
AGPAT140_ap,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
LPLIPAL2ATG160,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
MCITSm,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
KAS15,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
GLUTRS,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
HACD4,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal
EX_pe120_e,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
TRDRm,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
CYTBD,not in model,nonlethal,not in model,not in model,nonlethal,not in model,not in model,nonlethal,nonlethal,nonlethal,not in model,not in model,not in model,nonlethal
NDPK1,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
OMHPALTD,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3OAR40,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
MTHFR5,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
PE1801819Zt,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
MECDPS_ap,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
FASC181ACP,nonlethal,not in model,nonlethal,nonlethal,not in model,not in model,not in model,not in model,nonlethal,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_gal_e,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
PDE2,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
UGCG,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
EX_cd2_e,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
ARTPLM1,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
AGPATCOA1801819Z,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
GLYCt,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
FACOAL141,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
SERPT,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
EX_fol_e,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
TRPTRS,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
NO2t3,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
EX_mal__L_e,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,nonlethal,not in model,not in model,not in model,not in model
r1467,not in model,nonlethal,not in model,not in model,not in model,not in model,nonlethal,nonlethal,not in model,not in model,not in model,not in model,not in model,nonlethal
3HAD140_ap,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
acylpg_prod7,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
ACOADAGAT1801819Z180,not in model,nonlethal,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PI45BPP,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
PPPGO3,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
CHSTEROLt2,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3M2OPLOXRD,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
EX_phe__L_e,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
PGCD,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
EX_clpn141_e,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,nonlethal,nonlethal,not in model,not in model,not in model
1AGPEAT1829Z12Z1835Z9Z12Z,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
FOMETRi,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
ALATRS,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
GM1LIPAabcppc,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
DOLPGT2,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
ACOAD4f,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
O2tmt,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
GAT1_SC,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal
FCLT_ap,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
3OAS140,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
MALOAAtm,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
PAIL1819Z160t,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
T4HCINNMFM,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,not in model,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model
ACOADAGAT18111Z1819Z1835Z9Z12Z,not in model,nonlethal,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
O2tm,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,nonlethal,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_chol_e,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
ACOAD20,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model
FAS160_ap,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
EX_enlipidA_e,not in model,not in model,not in model,nonlethal,not in model,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,not in model,not in model,nonlethal
TUNGSabcppc,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
EX_adn_e,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
OAAAKGtm,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
DESAT14,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,not in model,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
GLYK,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
PGKm,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
PFK_2,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
3HAD120,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
2agpe160t,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal
