,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
FACOAE1839Z12Z15Z,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
MI134PP,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
EX_maltpt_e,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
EX_2agpe160_e,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
SGSAD,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
NNMT,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
THRTRS,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
ACOADAGAT1801819Z1835Z9Z12Z,,,not in model,nonlethal,not in model,not in model,not in model,,,not in model,,,,
pe_prod10,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
SELCYSS_pf,,,not in model,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
SLCBK1,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
PGSA_SA,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
3HOPCD,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
DHPS,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
PSSA181,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
PLDAGAT18111Z1819Z1602,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
PLBPC_SCe,,,nonlethal,not in model,not in model,not in model,not in model,,,not in model,,,,
3OAR141_ap,,,not in model,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
CDGS,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
MGDGW3DS1829Z12Z1637Z10Z13Zc,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
CLPNS140,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
PPPGO2_1,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
DASYNm_SC,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
AGTi,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
NTPP8,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
6TXAN5MPAML,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
ASPTRSm,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
LPLIPAL2G140,,,not in model,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
ACOAR5mc,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
PSSA161,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
STRDNCCPT1,,,not in model,nonlethal,not in model,not in model,not in model,,,not in model,,,,
HISTRS,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
ERGSTESTH_SC,,,nonlethal,nonlethal,not in model,not in model,not in model,,,not in model,,,,
FACOAL240pc,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
CRVSthc,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
GPIAT,,,not in model,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
HEPKB2,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
FAS181,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
EX_5fthf_e,,,nonlethal,not in model,not in model,not in model,not in model,,,not in model,,,,
MICITDr,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
NTP1,,,nonlethal,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
FACOAL40It2ppc,,,not in model,not in model,nonlethal,not in model,not in model,,,not in model,,,,
MALTHPabc,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
PUNP4,,,not in model,nonlethal,nonlethal,not in model,not in model,,,not in model,,,,
CDPDGPm_SCc,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
RBTDG,,,not in model,not in model,not in model,not in model,not in model,,,not in model,,,,
