,0
2AGPGAT120,1.0
2AGPGAT141,1.0
2AGPGAT180,1.0
3HAD160,1.0
3OAR120,1.0
3OAR141,1.0
3OAR161,1.0
3OAS140,1.0
3OAS161,1.0
AACPS5,1.0
AACPS6,1.0
AACPS9,1.0
ABTA,1.0
ACACT2r,1.0
ACACT3r,1.0
ACCOAL,1.0
ACOATA,1.0
ACOTA,1.0
ACPPAT141,1.0
ACPPAT161,1.0
ADCS,1.0
ADNK1,0.992959552953675
AGPAT180,0.9999999999999999
ALATRS,0.9999999999999999
AP5AH,0.9999999999999999
ARGTRS,0.9999999999999999
ASPTRS,0.9999999999999999
CBPS,0.9999999999999999
CFAS180E,0.9999999999999999
DASYN161,0.9999999999999999
DHFS,0.9999999999999999
DUTPDP,0.9999999999999999
DXPRIi,0.9999999999999999
E4PD,0.9999999999999999
EAR100x,0.9999999999999999
EAR120y,0.9999999999999999
EAR140y,0.9999999999999999
EAR141x,0.9999999999999999
EAR161y,0.9999999999999999
EAR180x,0.9999999999999999
EAR180y,0.9999999999999999
EAR181y,0.9999999999999999
EAR40y,0.9999999999999999
EAR80y,0.9999999999999999
ECOAH8,0.9999999999999999
EPMEACPR,0.9999999999999999
FUM,0.8954570198981172
G1PACT,0.9999999999999989
G3PAT141,0.9999999999999989
G3PAT180,0.9999999999999989
GLNS,0.9999999999999989
GLUSy,0.9999999999999989
GLUTRS,0.9999999999999989
GLYCL,0.9999999999999989
GMAND,0.9999999999999989
GMHEPAT,0.9999999999999989
GPDDA2,0.9999999999999989
GRXR,0.9999999999999989
GTHOr,0.9999999999999989
GTHS,0.9999999999999989
GTPCI,0.9999999999999989
HBZOPT,0.9999999999999989
HYPOE,0.9999999999999989
I4FE4ST,0.9999999999999989
ILETA,0.9999999999999989
IMPD,0.9999999999999989
IPMD,0.9999999999999989
LEUTAi,0.9999999999999989
LIPATPT,0.9999999999999989
LYSTRS,0.9999999999999989
MACPD,0.9999999999999989
MAN1PT2,0.9999999999999989
MEPCT,0.9999999999999989
METAT,0.9999999999999989
MOADSUx,0.9999999999999989
MPTSS,0.9999999999999989
NDPK3,0.9999999999999989
NDPK5,0.9999999999999989
NDPK6,0.9999999999999989
NNAM,0.9999999999999989
NTD10,0.9999999999999989
NTD2,0.9999999999999989
NTD5,0.9999999999999989
NTD7,0.9999999999999989
NTD8,0.9999999999999989
NTP1,0.9999999999999989
NTPP1,0.9999999999999989
OCTDPS,0.9999999999999989
PFK,0.9999999999999989
PNTK,0.9999999999999989
PPBNGS,0.9999999999999989
PPCDC,0.9999999999999989
PPCK,0.9999999999999989
PSSA160,0.9999999999999989
PSSA180,0.9999999999999989
PYK,0.9972890471291058
RBFK,0.9999999999999977
RBK,0.9999999999999977
RNDR1b,0.9999999999999977
RNDR2b,0.9999999999999977
RNDR3,0.9999999999999977
RNDR3b,0.9999999999999977
RNDR4b,0.9999999999999977
RPI,0.9999999999999977
S2FE2SS2,0.9999999999999977
S4FE4ST,0.9999999999999977
SCYSDS,0.9999999999999977
SDPTA,0.9999999999999977
SELNPS,0.9999999999999977
SPMS,0.9999999999999977
SUCOAS,0.9999999999999977
T2DECAI,0.9999999999999977
THFAT,0.9999999999999977
TPI,0.9972717042022682
TRDR,1.000000000000003
VALTRS,1.000000000000003
THZPSN,1.000000000000003
2HMHMBQMTm,1.000000000000003
3DSPHR,1.000000000000003
ACGAMPM,1.000000000000003
AHCi,1.000000000000003
AKGDam,1.000000000000003
AMID2,1.000000000000003
ARMT,1.000000000000003
ASPGLU2m,1.000000000000003
CITtcm,1.000000000000003
CTPtm,1.000000000000003
DESAT16,1.000000000000003
D_LACDm,1.000000000000003
ERGSTt,1.000000000000003
FACOAL180,1.000000000000003
FAS120,1.000000000000003
FAS160,1.000000000000003
FAS161,1.000000000000003
FAS181,1.000000000000003
GCC2cm,1.000000000000003
GLUDxi,1.000000000000003
GTPH1,1.000000000000003
HEMEOSm,1.000000000000003
ILETRSm,1.000000000000003
LNS14DM,1.000000000000003
MCITSm,1.000000000000003
NAPRT,1.000000000000003
NFTYROX,1.000000000000003
ORNTA,1.000000000000003
PDE5,1.000000000000003
PI35BP5P_SC,1.000000000000003
PIN3K_SC,1.000000000000003
RNTR1,1.000000000000003
RNTR2,1.000000000000003
RNTR3,1.000000000000003
SUCFUMtm,1.000000000000003
SUCOASm,1.000000000000003
THFGLUS,1.000000000000003
THMPPt2m,1.000000000000003
THRTRSm,1.000000000000003
TMDPK,1.000000000000003
TMDPPK,1.000000000000003
VALTRSm,1.000000000000003
ZYMSTESTH_SC,1.000000000000003
ZYMSTt,1.000000000000003
4M2OPLOXRD,1.000000000000003
GCCa,1.000000000000003
HEXTT,1.000000000000003
KAS1,1.000000000000003
KAS16,1.000000000000003
KAS3,1.000000000000003
